0,2
13,1
142,2
143,1
321,2
322,1
327,2
335,1
337,2
339,1
350,2
362,1
363,2
365,1
366,2
367,1
384,2
389,1
413,2
414,1
415,2
416,1
438,2
439,1
441,2
446,1
447,2
448,1
466,2
472,1
491,2
500,1
502,2
503,1
519,2
529,1
547,2
554,1
575,2
576,1
577,2
580,1
606,2
609,1
629,2
632,1
634,2
636,1
659,2
665,1
687,2
689,1
693,2
694,1
697,2
698,1
709,2
725,1
727,2
729,1
732,2
733,1
735,2
755,1
756,2
757,1
760,2
765,1
766,2
767,1
768,2
773,1
774,2
775,1
778,2
779,1
790,2
802,1
821,2
822,1
823,2
824,1
852,2
855,1
879,2
881,1
904,2
908,1
929,2
948,1
951,2
1000,1
1010,2
1014,1
1042,2
1043,1
1075,2
1077,1
1096,2
1097,1
1098,2
1100,1
1104,2
1105,1
1177,2
1183,1
1199,2
1221,1
1223,2
1244,1
1257,2
1265,1
1284,2
1299,1
1310,2
1331,1
1333,2
1353,1
1371,2
1375,1
1379,2
1380,1
1401,2
1402,1
1421,2
1423,1
1426,2
1427,1
1476,2
1486,1
1509,2
1518,1
1519,2
1547,1
1548,2
1549,1
1559,2
1574,1
1584,2
1587,1
1588,2
1595,1
1596,2
1598,1
1612,2
1618,1
1624,2
1626,1
1634,2
1638,1
1641,2
1653,1
1670,2
1671,1
1674,2
1676,1
1695,2
1710,1
1718,2
1739,1
1741,2
1743,1
1746,2
1747,1
1749,2
1755,1
1758,2
1759,1
1760,2
1761,1
1777,2
1795,1
1808,2
1809,1
1833,2
1835,1
1836,2
1839,1
1840,2
1841,1
2021,2
2022,1
2024,2
2025,1
2026,2
2027,1
2028,2
2035,1
2055,2
2058,1
2083,2
2089,1
2107,2
2109,1
2110,2
2112,1
2114,2
2119,1
2134,2
2142,1
2192,2
2194,1
2195,2
2197,1
2199,2
2200,1
2243,2
2257,1
2269,2
2270,1
2275,2
2277,1
2279,2
2285,1
2294,2
2309,1
2319,2
2343,1
2352,2
2367,1
2378,2
2393,1
2405,2
2406,1
2407,2
2408,1
2409,2
2418,1
2433,2
2434,1
2435,2
2450,1
2462,2
2482,1
2483,2
2504,1
2514,2
2524,1
2526,2
2536,1
2537,2
2538,1
2539,2
2562,1
2567,2
2584,1
2599,2
2610,1
2627,2
2629,1
2630,2
2640,1
2656,2
2667,1
2680,2
2681,1
2682,2
2683,1
2684,2
2696,1
2709,2
2724,1
2734,2
2753,1
2759,2
2779,1
2787,2
2953,1
3013,2
3017,1
3020,2
3023,1
3024,2
3025,1
3028,2
3053,1
3063,2
3073,1
3091,2
3093,1
3095,2
3099,1
3102,2
3106,1
3115,2
3121,1
3123,2
3134,1
3137,2
3148,1
3151,2
3256,1
3258,2
3268,1
3285,2
3292,1
3293,2
3299,1
3309,2
3321,1
3323,2
3326,1
3336,2
3337,1
3340,2
3350,1
3365,2
3366,1
3369,2
3372,1
3397,2
3399,1
3401,2
3402,1
3425,2
3428,1
3455,2
3458,1
3479,2
3482,1
3536,2
3538,1
3560,2
3565,1
3566,2
3567,1
3609,2
3633,1
3634,2
3656,1
3657,2
3658,1
3662,2
3674,1
3677,2
3680,1
3689,2
3709,1
3718,2
3737,1
3746,2
3758,1
3759,2
3766,1
3770,2
3790,1
3791,2
3792,1
3801,2
3806,1
3807,2
3818,1
3828,2
3832,1
3833,2
3847,1
3848,2
3850,1
3854,2
3875,1
3876,2
3878,1
3880,2
3962,1
3965,2
3985,1
3998,2
4008,1
4010,2
4012,1
4013,2
4014,1
4017,2
4066,1
4192,2
4194,1
4197,2
4198,1
4215,2
4230,1
4239,2
4257,1
4269,2
4284,1
4286,2
4287,1
4295,2
4310,1
4322,2
4342,1
4344,2
4389,1
4406,2
4407,1
4408,2
4409,1
4410,2
4415,1
4427,2
4534,1
4538,2
4539,1
4540,2
4542,1
4544,2
4553,1
4565,2
4567,1
4569,2
4570,1
