seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
10,,threshold,50000,447,7164,503,503,502,3,776,7667,15.300000
10,30,fixed,50000,521,8336,502,502,563,5,0,8838,17.600000
10,40,fixed,50000,471,7542,484,484,779,3,0,8026,16.000000
10,60,fixed,50000,396,6336,477,477,625,5,0,6813,13.600000
10,80,fixed,50000,341,5460,460,460,558,6,0,5920,11.800000
10,100,fixed,50000,300,4800,432,432,772,6,0,5232,10.400000
10,150,fixed,50000,230,3680,416,416,603,6,0,4096,8.100000
10,200,fixed,50000,187,2992,368,368,679,6,0,3360,6.700000
11,20,fixed,50000,582,9312,514,514,545,4,0,9826,19.600000
11,,table,50000,355,5686,489,489,459,4,1295,6175,12.300000
11,,threshold,50000,446,7136,491,491,701,2,776,7627,15.200000
11,30,fixed,50000,520,8335,513,513,504,5,0,8848,17.600000
11,40,fixed,50000,471,7536,512,512,462,3,0,8048,16.000000
11,60,fixed,50000,396,6336,484,484,560,4,0,6820,13.600000
11,80,fixed,50000,341,5458,468,468,533,3,0,5926,11.800000
11,100,fixed,50000,300,4800,425,425,809,6,0,5225,10.400000
11,150,fixed,50000,230,3680,418,418,608,5,0,4098,8.100000
11,200,fixed,50000,187,2992,387,387,566,5,0,3379,6.700000
12,20,fixed,50000,582,9312,512,512,707,1,0,9824,19.600000
12,,table,50000,355,5680,477,477,817,2,1295,6157,12.300000
12,,threshold,50000,446,7136,498,498,763,2,776,7634,15.200000
12,30,fixed,50000,521,8336,505,505,757,1,0,8841,17.600000
12,40,fixed,50000,471,7537,501,501,769,2,0,8038,16.000000
12,60,fixed,50000,396,6336,465,465,1019,3,0,6801,13.600000
12,80,fixed,50000,341,5460,460,460,705,2,0,5920,11.800000
12,100,fixed,50000,300,4800,444,444,692,2,0,5244,10.400000
12,150,fixed,50000,230,3680,406,406,627,1,0,4086,8.100000
12,200,fixed,50000,187,2992,332,332,912,3,0,3324,6.600000
13,20,fixed,50000,582,9312,515,515,508,6,0,9827,19.600000
13,,table,50000,355,5681,469,470,757,6,1295,6150,12.300000
13,,threshold,50000,448,7180,486,486,804,5,776,7666,15.300000
13,30,fixed,50000,521,8336,488,488,699,6,0,8824,17.600000
13,40,fixed,50000,471,7544,473,473,776,5,0,8017,16.000000
13,60,fixed,50000,396,6336,475,475,564,6,0,6811,13.600000
13,80,fixed,50000,341,5463,448,448,681,6,0,5911,11.800000
13,100,fixed,50000,300,4800,438,438,868,8,0,5238,10.400000
13,150,fixed,50000,230,3680,409,409,748,8,0,4089,8.100000
13,200,fixed,50000,187,2992,363,363,779,10,0,3355,6.700000
14,20,fixed,50000,582,9315,500,500,854,3,0,9815,19.600000
14,,table,50000,355,5680,435,435,1189,6,1295,6115,12.200000
14,,threshold,50000,448,7179,472,472,1177,4,776,7651,15.300000
14,30,fixed,50000,521,8336,498,498,901,3,0,8834,17.600000
14,40,fixed,50000,471,7549,455,455,1322,4,0,8004,16.000000
14,60,fixed,50000,396,6336,450,450,1148,4,0,6786,13.500000
14,80,fixed,50000,341,5466,437,437,1109,5,0,5903,11.800000
14,100,fixed,50000,300,4800,411,411,986,6,0,5211,10.400000
14,150,fixed,50000,230,3685,381,381,891,7,0,4066,8.100000
14,200,fixed,50000,187,2992,358,358,778,4,0,3350,6.700000
15,20,fixed,50000,582,9314,504,504,717,6,0,9818,19.600000
15,,table,50000,354,5664,454,454,785,5,1295,6118,12.200000
15,,threshold,50000,447,7152,495,495,767,5,776,7647,15.200000
15,30,fixed,50000,520,8335,513,513,568,4,0,8848,17.600000
15,40,fixed,50000,471,7545,471,471,776,6,0,8016,16.000000
15,60,fixed,50000,396,6336,450,450,808,7,0,6786,13.500000
15,80,fixed,50000,341,5462,453,453,745,4,0,5915,11.800000
15,100,fixed,50000,300,4800,426,426,1027,6,0,5226,10.400000
15,150,fixed,50000,230,3680,400,400,750,8,0,4080,8.100000
15,200,fixed,50000,187,2992,383,383,627,9,0,3375,6.700000
16,20,fixed,50000,582,9312,525,525,777,3,0,9837,19.600000
16,,table,50000,356,5696,465,465,791,5,1295,6161,12.300000
