adaptive_strategy,matching_metric,window_cv2,eta_theory_1_plus_cv2,adaptive_scrub_cycles,adaptive_busy_percent,adaptive_unique_uncorrectable,adaptive_uncorrectable_detections,matched_fixed_interval,matched_fixed_scrub_cycles,matched_fixed_busy_percent,matched_fixed_unique_uncorrectable,matched_fixed_uncorrectable_detections,eta_practical_scrub_cycles,eta_practical_busy_percent,metric_difference
table,unique_uncorrectable_words,6.242959918,7.242959918,581.833333,19.606667,4.100000,720.566667,100,504.000000,17.066667,4.033333,808.533333,0.866227,0.870452,-0.066667
table,uncorrectable_detections,6.242959918,7.242959918,581.833333,19.606667,4.100000,720.566667,20,749.000000,24.993333,3.800000,757.266667,1.287310,1.274736,36.700000
threshold,unique_uncorrectable_words,6.242959918,7.242959918,749.066667,24.990000,3.900000,842.633333,10,749.066667,24.990000,3.900000,842.633333,1.000000,1.000000,0.000000
threshold,uncorrectable_detections,6.242959918,7.242959918,749.066667,24.990000,3.900000,842.633333,10,749.066667,24.990000,3.900000,842.633333,1.000000,1.000000,0.000000
