strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,34,0,4864,34,136.0,0.0,19456.0,136.0,36,32,4,0,0
fixed,25000,50000,25000,20,35,8,5120,35,140.0,32.0,20480.0,140.0,36,32,4,0,0
fixed,50000,75000,25000,20,41,20,5120,41,164.0,80.0,20480.0,164.0,42,32,10,0,0
fixed,75000,100000,25000,20,37,27,5120,37,148.0,108.0,20480.0,148.0,37,31,6,0,0
fixed,100000,125000,25000,20,20,20,5120,20,80.0,80.0,20480.0,80.0,23,21,2,0,0
fixed,125000,150000,25000,20,43,9,5120,43,172.0,36.0,20480.0,172.0,41,35,6,0,0
fixed,150000,175000,25000,20,25,0,5120,25,100.0,0.0,20480.0,100.0,26,16,10,0,0
fixed,175000,200000,25000,21,20,0,5376,20,80.0,0.0,21504.0,80.0,18,18,0,0,0
fixed,200000,225000,25000,20,22,0,5120,22,88.0,0.0,20480.0,88.0,23,20,3,0,0
fixed,225000,250000,25000,20,24,0,5120,24,96.0,0.0,20480.0,96.0,24,14,10,0,0
fixed,250000,275000,25000,20,25,0,5120,25,100.0,0.0,20480.0,100.0,25,22,3,0,0
fixed,275000,300000,25000,20,11,0,5120,11,44.0,0.0,20480.0,44.0,10,10,0,0,0
fixed,300000,325000,25000,20,22,18,5120,22,88.0,72.0,20480.0,88.0,26,20,6,0,0
fixed,325000,350000,25000,20,22,20,5120,22,88.0,80.0,20480.0,88.0,21,21,0,0,0
fixed,350000,375000,25000,20,10,20,5120,10,40.0,80.0,20480.0,40.0,10,6,4,0,0
fixed,375000,400000,25000,20,16,20,5120,16,64.0,80.0,20480.0,64.0,16,12,4,0,0
fixed,400000,425000,25000,21,13,21,5376,13,52.0,84.0,21504.0,52.0,13,11,2,0,0
fixed,425000,450000,25000,20,5,20,5120,5,20.0,80.0,20480.0,20.0,7,4,3,0,0
fixed,450000,475000,25000,20,14,20,5120,14,56.0,80.0,20480.0,56.0,13,12,1,0,0
fixed,475000,500000,25000,20,32,31,5120,32,128.0,124.0,20480.0,128.0,33,31,2,0,3
table,0,25000,25000,13,31,0,3328,31,124.0,0.0,13312.0,124.0,36,32,4,0,0
table,25000,50000,25000,15,36,18,3840,36,144.0,72.0,15360.0,144.0,36,32,4,0,0
table,50000,75000,25000,14,38,28,3584,38,152.0,112.0,14336.0,152.0,42,32,10,0,0
table,75000,100000,25000,15,36,58,3840,36,144.0,232.0,15360.0,144.0,37,31,6,0,0
table,100000,125000,25000,14,20,56,3584,20,80.0,224.0,14336.0,80.0,23,21,2,0,0
table,125000,150000,25000,14,43,48,3584,43,172.0,192.0,14336.0,172.0,41,35,6,0,0
table,150000,175000,25000,14,23,50,3584,23,92.0,200.0,14336.0,92.0,26,16,10,0,0
table,175000,200000,25000,14,20,49,3584,20,80.0,196.0,14336.0,80.0,18,18,0,0,0
table,200000,225000,25000,14,22,42,3584,22,88.0,168.0,14336.0,88.0,23,20,3,0,0
table,225000,250000,25000,13,24,34,3328,24,96.0,136.0,13312.0,96.0,24,14,10,0,0
table,250000,275000,25000,14,25,22,3584,25,100.0,88.0,14336.0,100.0,25,22,3,0,0
table,275000,300000,25000,13,11,13,3328,11,44.0,52.0,13312.0,44.0,10,10,0,0,0
table,300000,325000,25000,14,21,22,3584,21,84.0,88.0,14336.0,84.0,26,20,6,0,0
table,325000,350000,25000,13,21,39,3328,21,84.0,156.0,13312.0,84.0,21,21,0,0,0
table,350000,375000,25000,14,10,42,3584,10,40.0,168.0,14336.0,40.0,10,6,4,0,0
table,375000,400000,25000,14,15,42,3584,15,60.0,168.0,14336.0,60.0,16,12,4,0,0
table,400000,425000,25000,13,13,39,3328,13,52.0,156.0,13312.0,52.0,13,11,2,0,0
table,425000,450000,25000,14,5,42,3584,5,20.0,168.0,14336.0,20.0,7,4,3,0,0
table,450000,475000,25000,13,13,28,3328,13,52.0,112.0,13312.0,52.0,13,12,1,0,0
table,475000,500000,25000,14,33,36,3584,33,132.0,144.0,14336.0,132.0,33,31,2,0,3
threshold,0,25000,25000,11,29,0,2816,29,116.0,0.0,11264.0,116.0,36,32,4,0,0
threshold,25000,50000,25000,13,40,5,3328,40,160.0,20.0,13312.0,160.0,36,32,4,0,0
threshold,50000,75000,25000,12,38,12,3072,38,152.0,48.0,12288.0,152.0,42,32,10,0,0
threshold,75000,100000,25000,13,34,37,3328,34,136.0,148.0,13312.0,136.0,37,31,6,0,0
threshold,100000,125000,25000,13,25,39,3328,25,100.0,156.0,13312.0,100.0,23,21,2,0,0
threshold,125000,150000,25000,12,38,32,3072,38,152.0,128.0,12288.0,152.0,41,35,6,0,0
threshold,150000,175000,25000,12,24,36,3072,24,96.0,144.0,12288.0,96.0,26,16,10,0,0
threshold,175000,200000,25000,13,19,46,3328,19,76.0,184.0,13312.0,76.0,18,18,0,0,0
threshold,200000,225000,25000,12,22,36,3072,22,88.0,144.0,12288.0,88.0,23,20,3,0,0
