strategy,run_count,corrected_mean,corrected_min,corrected_max,corrected_stddev,uncorrectable_detections_mean,uncorrectable_detections_min,uncorrectable_detections_max,uncorrectable_detections_stddev,unique_uncorrectable_words_mean,unique_uncorrectable_words_min,unique_uncorrectable_words_max,unique_uncorrectable_words_stddev,reads_mean,reads_min,reads_max,reads_stddev,writes_mean,writes_min,writes_max,writes_stddev,interval_switches_mean,interval_switches_min,interval_switches_max,interval_switches_stddev,memory_busy_cycles_mean,memory_busy_cycles_min,memory_busy_cycles_max,memory_busy_cycles_stddev,busy_percent_mean,busy_percent_min,busy_percent_max,busy_percent_stddev
fixed,30,507.533333,478.000000,531.000000,14.414393,852.766667,482.000000,1339.000000,259.333853,4.200000,0.000000,8.000000,1.447947,10112.000000,10112.000000,10112.000000,0.000000,507.533333,478.000000,531.000000,14.414393,0.000000,0.000000,0.000000,0.000000,10619.533333,10590.000000,10643.000000,14.414393,21.186667,21.100000,21.200000,0.034575
table,30,456.566667,420.000000,491.000000,18.073954,776.900000,424.000000,1038.000000,153.376110,4.433333,0.000000,9.000000,1.906130,5392.000000,5392.000000,5392.000000,0.000000,456.566667,420.000000,491.000000,18.073954,1295.000000,1295.000000,1295.000000,0.000000,5848.566667,5812.000000,5883.000000,18.073954,11.643333,11.600000,11.700000,0.050401
threshold,30,466.933333,441.000000,490.000000,14.328494,787.366667,440.000000,1123.000000,166.608044,4.466667,1.000000,9.000000,1.775957,5936.000000,5936.000000,5936.000000,0.000000,466.933333,441.000000,490.000000,14.328494,776.000000,776.000000,776.000000,0.000000,6402.933333,6377.000000,6426.000000,14.328494,12.766667,12.700000,12.800000,0.047946
