0,2
136,1
1426,2
1437,1
3217,2
3228,1
3274,2
3354,1
3377,2
3399,1
3502,2
3628,1
3639,2
3650,1
3662,2
3673,1
3844,2
3890,1
4130,2
4141,1
4152,2
4164,1
4381,2
4392,1
4415,2
4461,1
4472,2
4483,1
4666,2
4723,1
4917,2
5008,1
5020,2
5031,1
5191,2
5293,1
5476,2
5544,1
5750,2
5761,1
5773,2
5807,1
6069,2
6092,1
6297,2
6320,1
6343,2
6366,1
6594,2
6651,1
6879,2
6891,1
6936,2
6948,1
6971,2
6982,1
7096,2
7256,1
7279,2
7290,1
7324,2
7336,1
7358,2
7552,1
7564,2
7575,1
7609,2
7655,1
7667,2
7678,1
7689,2
7735,1
7746,2
7758,1
7781,2
7792,1
7906,2
8020,1
8214,2
8226,1
8237,2
8248,1
8522,2
8556,1
8796,2
8819,1
9047,2
9081,1
9298,2
9481,1
9515,2
10005,1
10108,2
10142,1
10428,2
10439,1
10758,2
10770,1
10964,2
10975,1
10987,2
11009,1
11044,2
11055,1
11774,2
11831,1
11991,2
12219,1
12230,2
12447,1
12573,2
12652,1
12846,2
12995,1
13109,2
13314,1
13337,2
13531,1
13713,2
13759,1
13793,2
13805,1
14010,2
14021,1
14215,2
14238,1
14261,2
14273,1
14763,2
14866,1
15094,2
15185,1
15197,2
15470,1
15482,2
15493,1
15596,2
15744,1
15847,2
15870,1
15881,2
15950,1
15961,2
15984,1
16121,2
16189,1
16246,2
16269,1
16349,2
16383,1
16417,2
16532,1
16703,2
16714,1
16748,2
16760,1
16954,2
17102,1
17182,2
17399,1
17410,2
17433,1
17467,2
17479,1
17490,2
17558,1
17581,2
17593,1
17604,2
17615,1
17775,2
17958,1
18083,2
18095,1
18334,2
18357,1
18368,2
18391,1
18403,2
18414,1
20217,2
20228,1
20240,2
20251,1
20262,2
20274,1
20285,2
20354,1
20559,2
20582,1
20833,2
20890,1
21072,2
21095,1
21107,2
21129,1
21141,2
21198,1
21346,2
21426,1
21928,2
21940,1
21951,2
21974,1
21997,2
22008,1
22430,2
22578,1
22693,2
22704,1
