strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,32,0,4864,32,128.0,0.0,19456.0,128.0,33,27,6,0,0
fixed,25000,50000,25000,20,20,0,5120,20,80.0,0.0,20480.0,80.0,20,20,0,0,0
fixed,50000,75000,25000,20,50,0,5120,50,200.0,0.0,20480.0,200.0,53,40,13,0,0
fixed,75000,100000,25000,20,42,0,5120,42,168.0,0.0,20480.0,168.0,39,33,6,0,0
fixed,100000,125000,25000,20,35,49,5120,35,140.0,196.0,20480.0,140.0,42,31,11,0,0
fixed,125000,150000,25000,20,33,54,5120,33,132.0,216.0,20480.0,132.0,34,28,6,0,0
fixed,150000,175000,25000,20,21,60,5120,21,84.0,240.0,20480.0,84.0,21,17,4,0,0
fixed,175000,200000,25000,21,20,63,5376,20,80.0,252.0,21504.0,80.0,19,15,4,0,0
fixed,200000,225000,25000,20,18,60,5120,18,72.0,240.0,20480.0,72.0,18,14,4,0,0
fixed,225000,250000,25000,20,16,65,5120,16,64.0,260.0,20480.0,64.0,19,17,2,0,0
fixed,250000,275000,25000,20,22,80,5120,22,88.0,320.0,20480.0,88.0,21,21,0,0,0
fixed,275000,300000,25000,20,7,80,5120,7,28.0,320.0,20480.0,28.0,8,8,0,0,0
fixed,300000,325000,25000,20,19,80,5120,19,76.0,320.0,20480.0,76.0,20,16,4,0,0
fixed,325000,350000,25000,20,22,69,5120,22,88.0,276.0,20480.0,88.0,21,21,0,0,0
fixed,350000,375000,25000,20,12,60,5120,12,48.0,240.0,20480.0,48.0,12,10,2,0,0
fixed,375000,400000,25000,20,23,60,5120,23,92.0,240.0,20480.0,92.0,23,19,4,0,0
fixed,400000,425000,25000,21,7,63,5376,7,28.0,252.0,21504.0,28.0,8,8,0,0,0
fixed,425000,450000,25000,20,15,60,5120,15,60.0,240.0,20480.0,60.0,15,11,4,0,0
fixed,450000,475000,25000,20,16,70,5120,16,64.0,280.0,20480.0,64.0,18,16,2,0,0
fixed,475000,500000,25000,20,34,80,5120,34,136.0,320.0,20480.0,136.0,36,28,8,0,0
table,0,25000,25000,13,31,0,3328,31,124.0,0.0,13312.0,124.0,33,27,6,0,0
table,25000,50000,25000,15,21,0,3840,21,84.0,0.0,15360.0,84.0,20,20,0,0,0
table,50000,75000,25000,14,49,0,3584,49,196.0,0.0,14336.0,196.0,53,40,13,0,0
table,75000,100000,25000,15,41,1,3840,41,164.0,4.0,15360.0,164.0,39,33,6,0,0
table,100000,125000,25000,14,37,35,3584,37,148.0,140.0,14336.0,148.0,42,31,11,0,0
table,125000,150000,25000,14,33,38,3584,33,132.0,152.0,14336.0,132.0,34,28,6,0,0
table,150000,175000,25000,14,21,42,3584,21,84.0,168.0,14336.0,84.0,21,17,4,0,0
table,175000,200000,25000,14,20,42,3584,20,80.0,168.0,14336.0,80.0,19,15,4,0,0
table,200000,225000,25000,14,18,42,3584,18,72.0,168.0,14336.0,72.0,18,14,4,0,0
table,225000,250000,25000,13,14,42,3328,14,56.0,168.0,13312.0,56.0,19,17,2,0,0
table,250000,275000,25000,14,24,56,3584,24,96.0,224.0,14336.0,96.0,21,21,0,0,0
table,275000,300000,25000,13,6,52,3328,6,24.0,208.0,13312.0,24.0,8,8,0,0,0
table,300000,325000,25000,14,21,56,3584,21,84.0,224.0,14336.0,84.0,20,16,4,0,0
table,325000,350000,25000,13,22,45,3328,22,88.0,180.0,13312.0,88.0,21,21,0,0,0
table,350000,375000,25000,14,12,42,3584,12,48.0,168.0,14336.0,48.0,12,10,2,0,0
table,375000,400000,25000,14,23,42,3584,23,92.0,168.0,14336.0,92.0,23,19,4,0,0
