hour_index,nu,tau_seconds,lambda,q_cycle,cycles_per_hour
0,10.8034405568,30,0.0900286713065,2.03977853035e-09,120
1,11.4492066034,10,0.0318033516762,2.54546493194e-10,360
2,12.2729953778,10,0.0340916538272,2.92494345575e-10,360
3,12.4337203977,10,0.034538112216,3.00205419044e-10,360
4,12.8720424856,10,0.0357556735711,3.21744596979e-10,360
5,11.9531032056,10,0.0332030644599,2.77445491647e-10,360
6,11.75593218,10,0.0326553671666,2.68367844159e-10,360
7,12.0425796452,10,0.0334516101254,2.81614743605e-10,360
8,12.1486644779,10,0.0337462902163,2.86598167536e-10,360
9,11.6812049423,10,0.0324477915063,2.64966897478e-10,360
10,11.1581142784,30,0.0929842856534,2.17590761965e-09,120
11,10.9098426733,30,0.0909153556106,2.08015558235e-09,120
12,10.6055630847,30,0.0883796923724,1.96574104622e-09,120
13,10.2593310473,30,0.0854944253939,1.83948787957e-09,120
14,9.91342024239,30,0.0826118353532,1.71753611043e-09,120
15,9.20061171616,30,0.0766717643013,1.47942260061e-09,120
16,8.57850689535,30,0.0714875574612,1.2861222521e-09,120
17,8.55005905943,30,0.0712504921619,1.27760638095e-09,120
18,8.71853774542,30,0.0726544812118,1.328452857e-09,120
19,8.81405546224,30,0.0734504621854,1.35772057974e-09,120
20,8.97246279092,30,0.0747705232576,1.40696137468e-09,120
21,9.17649024498,30,0.0764707520415,1.47167549173e-09,120
22,9.24203161979,30,0.0770169301649,1.49277290275e-09,120
23,9.7303116792,30,0.08108593066,1.65467363246e-09,120
24,10.2062218387,30,0.0850518486555,1.82049231724e-09,120
25,10.0325236118,30,0.0836043634317,1.75905421162e-09,120
26,10.1922504847,30,0.0849354207062,1.81551156452e-09,120
27,10.4988708118,30,0.0874905900983,1.92638916332e-09,120
28,10.4553867447,30,0.0871282228726,1.91046482933e-09,120
29,10.3296428115,30,0.0860803567622,1.86478793893e-09,120
30,10.0796009234,30,0.0839966743616,1.77560156137e-09,120
31,9.99138032866,30,0.0832615027388,1.74465606669e-09,120
32,10.1627782594,30,0.0846898188286,1.8050271667e-09,120
33,9.69406951714,30,0.0807839126428,1.6423703744e-09,120
34,9.97999887039,30,0.0831666572533,1.74068355841e-09,120
35,9.99984387419,30,0.0833320322849,1.74761306154e-09,120
36,9.67295745415,30,0.0806079787846,1.63522454781e-09,120
37,9.52517301322,30,0.0793764417768,1.58563998428e-09,120
38,9.36681014513,30,0.0780567512094,1.53335346264e-09,120
39,9.19853365127,30,0.076654447094,1.47875438657e-09,120
40,9.01938975133,30,0.0751615812611,1.42171698409e-09,120
41,8.89898316403,30,0.0741581930336,1.38401122737e-09,120
42,8.74308214393,30,0.0728590178661,1.33594309757e-09,120
