strategy,c_value,risk_e,p_mission,cycles,p_max_cycle,mean_tau_seconds,min_tau_seconds,max_tau_seconds,deviation_from_practical_lower_percent
adaptive_current_continuous,0.0647437038591,0.0050503358535,0.00503760434919,4787445.503401,1.05491244755e-09,48.5246882361,0.195213106777,94.0017065375,-14.885318
adaptive_current_discrete,0.0543496260885,0.00505018100036,0.00503745027613,5624700.000000,2.76820641302e-08,41.286715042,1,60,0.000000
adaptive_delayed_1h_discrete,0.052792188431,0.00505026763505,0.0050375364744,5829960.000000,3.09868946137e-07,40.5700073019,1,60,3.649261
fixed_continuous_at_target,,0.0050503358535,0.00503760434919,34675275.889428,5.73043580132e-07,4.54982392939,4.54982392939,4.54982392939,516.482228
fixed_allowed_2s,,0.00222001375521,0.0022175513472,78883200.000000,1.10728256521e-07,2,2,2,1302.442797
