shorter_interval_seconds,longer_interval_seconds,tau_boundary_seconds,nu_boundary
1,2,1.41421356237,138.351560984
2,5,3.16227766017,61.8726990305
5,10,7.07106781187,27.6703121967
10,30,17.3205080757,11.2963576509
30,60,42.4264068712,4.61171869945
60,120,84.8528137424,2.30585934973
120,300,189.73665961,1.03121165051
300,600,424.264068712,0.461171869945
600,1200,848.528137424,0.230585934973
1200,1800,1469.69384567,0.133128851628
1800,3600,2545.58441227,0.0768619783242
