replay_name,fault_seed,replay_strategy,measured_control,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
measured_table_w0p00,7,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0007/w0p00/control_levels_measured_table_w0p00.csv,table,500000,320,81920,469,469,1070,2,13,0,0,328469,82389,656,164,0
measured_table_w0p10,7,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0007/w0p10/control_levels_measured_table_w0p10.csv,table,500000,328,84181,464,464,1304,3,16,0,0,337516,84645,675,169,0
measured_table_w0p25,7,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0007/w0p25/control_levels_measured_table_w0p25.csv,table,500000,343,87808,467,467,1199,2,12,0,0,352042,88275,704,176,0
measured_table_w0p50,7,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0007/w0p50/control_levels_measured_table_w0p50.csv,table,500000,364,93218,467,467,1276,2,12,0,0,373701,93685,747,187,0
measured_table_w0p75,7,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0007/w0p75/control_levels_measured_table_w0p75.csv,table,500000,389,99803,465,465,1383,3,11,0,0,400064,100268,800,200,0
measured_table_w1p00,7,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0007/w1p00/control_levels_measured_table_w1p00.csv,table,500000,417,106993,469,469,1285,2,9,0,0,428856,107462,857,214,0
measured_table_w0p00,8,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0008/w0p00/control_levels_measured_table_w0p00.csv,table,500000,311,79666,455,455,1207,5,14,0,0,319427,80121,638,160,0
measured_table_w0p10,8,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0008/w0p10/control_levels_measured_table_w0p10.csv,table,500000,325,83454,465,465,809,4,14,0,0,334603,83919,669,167,0
measured_table_w0p25,8,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0008/w0p25/control_levels_measured_table_w0p25.csv,table,500000,355,91130,464,464,1175,4,14,0,0,365336,91594,730,183,0
measured_table_w0p50,8,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0008/w0p50/control_levels_measured_table_w0p50.csv,table,500000,420,107560,472,472,357,1,12,0,0,431130,108032,862,216,0
measured_table_w0p75,8,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0008/w0p75/control_levels_measured_table_w0p75.csv,table,500000,441,112972,472,472,400,1,4,0,0,452801,113444,905,226,0
measured_table_w1p00,8,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0008/w1p00/control_levels_measured_table_w1p00.csv,table,500000,444,113699,472,472,400,1,2,0,0,455712,114171,911,228,0
measured_table_w0p00,9,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0009/w0p00/control_levels_measured_table_w0p00.csv,table,500000,315,80770,466,466,524,4,12,0,0,323860,81236,647,162,0
