strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,39,0,4864,39,156.0,0.0,19456.0,156.0,41,39,2,0,0
fixed,25000,50000,25000,20,33,0,5120,33,132.0,0.0,20480.0,132.0,31,31,0,0,0
fixed,50000,75000,25000,20,51,11,5120,51,204.0,44.0,20480.0,204.0,54,42,12,0,0
fixed,75000,100000,25000,20,34,20,5120,34,136.0,80.0,20480.0,136.0,34,32,2,0,0
fixed,100000,125000,25000,20,31,20,5120,31,124.0,80.0,20480.0,124.0,31,25,6,0,0
fixed,125000,150000,25000,20,34,20,5120,34,136.0,80.0,20480.0,136.0,36,26,10,0,0
fixed,150000,175000,25000,20,18,3,5120,18,72.0,12.0,20480.0,72.0,16,12,4,0,0
fixed,175000,200000,25000,21,21,0,5376,21,84.0,0.0,21504.0,84.0,21,17,4,0,0
fixed,200000,225000,25000,20,21,0,5120,21,84.0,0.0,20480.0,84.0,20,16,4,0,0
fixed,225000,250000,25000,20,18,0,5120,18,72.0,0.0,20480.0,72.0,18,14,4,0,0
fixed,250000,275000,25000,20,16,0,5120,16,64.0,0.0,20480.0,64.0,17,16,1,0,0
fixed,275000,300000,25000,20,13,0,5120,13,52.0,0.0,20480.0,52.0,12,10,2,0,0
fixed,300000,325000,25000,20,17,0,5120,17,68.0,0.0,20480.0,68.0,18,17,1,0,0
fixed,325000,350000,25000,20,30,0,5120,30,120.0,0.0,20480.0,120.0,29,17,12,0,0
fixed,350000,375000,25000,20,19,0,5120,19,76.0,0.0,20480.0,76.0,19,13,6,0,0
fixed,375000,400000,25000,20,8,0,5120,8,32.0,0.0,20480.0,32.0,9,7,2,0,0
fixed,400000,425000,25000,21,11,0,5376,11,44.0,0.0,21504.0,44.0,11,11,0,0,0
fixed,425000,450000,25000,20,11,1,5120,11,44.0,4.0,20480.0,44.0,12,10,2,0,0
fixed,450000,475000,25000,20,11,20,5120,11,44.0,80.0,20480.0,44.0,11,11,0,0,0
fixed,475000,500000,25000,20,36,41,5120,36,144.0,164.0,20480.0,144.0,40,34,6,0,0
table,0,25000,25000,13,35,0,3328,35,140.0,0.0,13312.0,140.0,41,39,2,0,0
table,25000,50000,25000,15,35,9,3840,35,140.0,36.0,15360.0,140.0,31,31,0,0,0
table,50000,75000,25000,14,46,33,3584,46,184.0,132.0,14336.0,184.0,54,42,12,0,0
table,75000,100000,25000,15,35,45,3840,35,140.0,180.0,15360.0,140.0,34,32,2,0,0
table,100000,125000,25000,14,32,42,3584,32,128.0,168.0,14336.0,128.0,31,25,6,0,0
table,125000,150000,25000,14,33,39,3584,33,132.0,156.0,14336.0,132.0,36,26,10,0,0
table,150000,175000,25000,14,18,25,3584,18,72.0,100.0,14336.0,72.0,16,12,4,0,0
table,175000,200000,25000,14,18,17,3584,18,72.0,68.0,14336.0,72.0,21,17,4,0,0
table,200000,225000,25000,14,22,28,3584,22,88.0,112.0,14336.0,88.0,20,16,4,0,0
table,225000,250000,25000,13,18,17,3328,18,72.0,68.0,13312.0,72.0,18,14,4,0,0
table,250000,275000,25000,14,16,14,3584,16,64.0,56.0,14336.0,64.0,17,16,1,0,0
table,275000,300000,25000,13,11,13,3328,11,44.0,52.0,13312.0,44.0,12,10,2,0,0
table,300000,325000,25000,14,18,14,3584,18,72.0,56.0,14336.0,72.0,18,17,1,0,0
table,325000,350000,25000,13,29,13,3328,29,116.0,52.0,13312.0,116.0,29,17,12,0,0
table,350000,375000,25000,14,20,14,3584,20,80.0,56.0,14336.0,80.0,19,13,6,0,0
table,375000,400000,25000,14,6,18,3584,6,24.0,72.0,14336.0,24.0,9,7,2,0,0
table,400000,425000,25000,13,11,26,3328,11,44.0,104.0,13312.0,44.0,11,11,0,0,0
table,425000,450000,25000,14,11,29,3584,11,44.0,116.0,14336.0,44.0,12,10,2,0,0
table,450000,475000,25000,13,11,39,3328,11,44.0,156.0,13312.0,44.0,11,11,0,0,0
table,475000,500000,25000,14,34,57,3584,34,136.0,228.0,14336.0,136.0,40,34,6,0,0
threshold,0,25000,25000,11,33,0,2816,33,132.0,0.0,11264.0,132.0,41,39,2,0,0
threshold,25000,50000,25000,13,37,8,3328,37,148.0,32.0,13312.0,148.0,31,31,0,0,0
threshold,50000,75000,25000,12,47,28,3072,47,188.0,112.0,12288.0,188.0,54,42,12,0,0
threshold,75000,100000,25000,13,34,39,3328,34,136.0,156.0,13312.0,136.0,34,32,2,0,0
threshold,100000,125000,25000,13,32,39,3328,32,128.0,156.0,13312.0,128.0,31,25,6,0,0
threshold,125000,150000,25000,12,33,33,3072,33,132.0,132.0,12288.0,132.0,36,26,10,0,0
threshold,150000,175000,25000,12,18,22,3072,18,72.0,88.0,12288.0,72.0,16,12,4,0,0
threshold,175000,200000,25000,13,19,16,3328,19,76.0,64.0,13312.0,76.0,21,17,4,0,0
