seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
7,,threshold,50000,331,5296,480,480,737,2,776,5776,11.500000
7,10,fixed,50000,659,10555,523,523,844,1,0,11078,22.100000
7,15,fixed,50000,618,9893,527,527,776,1,0,10420,20.800000
7,20,fixed,50000,582,9314,504,504,897,1,0,9818,19.600000
7,25,fixed,50000,549,8799,508,508,883,1,0,9307,18.600000
7,30,fixed,50000,521,8336,499,499,876,1,0,8835,17.600000
7,40,fixed,50000,471,7539,495,495,887,0,0,8034,16.000000
7,60,fixed,50000,395,6335,507,507,560,0,0,6842,13.600000
7,80,fixed,50000,341,5462,452,452,935,1,0,5914,11.800000
7,100,fixed,50000,300,4800,447,447,771,1,0,5247,10.400000
7,150,fixed,50000,230,3683,389,389,840,3,0,4072,8.100000
7,200,fixed,50000,187,2992,386,386,728,0,0,3378,6.700000
7,240,fixed,50000,162,2592,350,350,760,2,0,2942,5.800000
8,5,fixed,50000,706,11306,535,535,579,2,0,11841,23.600000
8,,table,50000,241,3856,439,439,569,5,1295,4295,8.500000
8,,threshold,50000,329,5264,474,474,635,1,776,5738,11.400000
8,10,fixed,50000,659,10557,515,515,668,3,0,11072,22.100000
8,15,fixed,50000,618,9897,510,510,445,3,0,10407,20.800000
8,20,fixed,50000,582,9312,519,519,612,3,0,9831,19.600000
8,25,fixed,50000,550,8800,486,486,696,4,0,9286,18.500000
8,30,fixed,50000,520,8332,525,525,542,1,0,8857,17.700000
8,40,fixed,50000,471,7537,504,504,439,2,0,8041,16.000000
8,60,fixed,50000,396,6336,481,481,597,4,0,6817,13.600000
8,80,fixed,50000,341,5460,459,459,597,4,0,5919,11.800000
8,100,fixed,50000,300,4800,431,431,828,4,0,5231,10.400000
8,150,fixed,50000,230,3680,403,403,746,3,0,4083,8.100000
8,200,fixed,50000,187,2992,357,357,740,4,0,3349,6.600000
8,240,fixed,50000,162,2593,348,348,584,4,0,2941,5.800000
9,5,fixed,50000,707,11313,503,503,990,2,0,11816,23.600000
9,,table,50000,242,3872,416,416,630,5,1295,4288,8.500000
9,,threshold,50000,331,5307,443,443,837,3,776,5750,11.500000
9,10,fixed,50000,659,10559,507,507,777,2,0,11066,22.100000
9,15,fixed,50000,618,9903,487,487,851,2,0,10390,20.700000
9,20,fixed,50000,582,9316,494,494,843,1,0,9810,19.600000
9,25,fixed,50000,550,8800,481,481,893,3,0,9281,18.500000
9,30,fixed,50000,521,8336,480,480,822,4,0,8816,17.600000
9,40,fixed,50000,471,7539,493,493,495,2,0,8032,16.000000
9,60,fixed,50000,396,6336,459,459,753,2,0,6795,13.500000
9,80,fixed,50000,341,5463,449,449,620,2,0,5912,11.800000
9,100,fixed,50000,300,4800,445,445,582,4,0,5245,10.400000
9,150,fixed,50000,230,3680,401,401,689,5,0,4081,8.100000
9,200,fixed,50000,187,2992,362,362,659,5,0,3354,6.700000
9,240,fixed,50000,162,2592,357,357,680,3,0,2949,5.800000
10,5,fixed,50000,706,11312,512,512,675,4,0,11824,23.600000
10,,table,50000,241,3856,428,428,654,5,1295,4284,8.500000
10,,threshold,50000,330,5281,476,476,507,4,776,5757,11.500000
10,10,fixed,50000,659,10558,512,512,675,4,0,11070,22.100000
10,15,fixed,50000,618,9897,509,509,670,5,0,10406,20.800000
10,20,fixed,50000,582,9312,511,511,729,5,0,9823,19.600000
10,25,fixed,50000,549,8799,506,506,650,4,0,9305,18.600000
10,30,fixed,50000,521,8336,502,502,563,5,0,8838,17.600000
10,40,fixed,50000,471,7542,484,484,779,3,0,8026,16.000000
10,60,fixed,50000,396,6336,477,477,625,5,0,6813,13.600000
10,80,fixed,50000,341,5460,460,460,558,6,0,5920,11.800000
10,100,fixed,50000,300,4800,432,432,772,6,0,5232,10.400000
10,150,fixed,50000,230,3680,416,416,603,6,0,4096,8.100000
10,200,fixed,50000,187,2992,368,368,679,6,0,3360,6.700000
10,240,fixed,50000,162,2592,366,366,688,6,0,2958,5.900000
