strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,final_sdc_words,final_dangerous_words,new_due_count,repeated_due_detections,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
fixed,1300,15,248,15,15,0,0,0,0,0,0,0,0,0,1022,263,786,202,0
table,1300,19,309,12,12,0,0,0,0,0,0,204,0,0,1266,321,973,246,0
threshold,1300,19,311,13,13,0,0,0,0,0,0,34,0,0,1273,324,979,249,0
