seed,interleave_depth,fixed_interval,requested_total_cycles,event_count,paired_event_count,cluster_event_count,cluster_bit_count,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
6,1,1244,500000,400,40,30,3,table,500000,276,70656,487,487,1694,9,1295,0,0,283387,71143,566,142,0
6,1,1244,500000,400,40,30,3,threshold,500000,248,63488,473,473,1963,10,42,0,0,254673,63961,509,127,0
7,1,1244,500000,400,40,30,3,fixed,500000,401,102735,490,490,2625,8,0,0,0,411828,103225,823,206,0
7,1,1244,500000,400,40,30,3,table,500000,276,70656,493,493,1767,8,1295,0,0,283393,71149,566,142,0
7,1,1244,500000,400,40,30,3,threshold,500000,248,63488,485,485,2127,10,42,0,0,254685,63973,509,127,0
8,1,1244,500000,400,40,30,3,fixed,500000,401,102735,479,479,2444,10,0,0,0,411817,103214,823,206,0
8,1,1244,500000,400,40,30,3,table,500000,276,70656,464,464,2429,12,1295,0,0,283364,71120,566,142,0
8,1,1244,500000,400,40,30,3,threshold,500000,248,63488,462,462,2453,14,42,0,0,254662,63950,509,127,0
9,1,1244,500000,400,40,30,3,fixed,500000,401,102735,494,494,982,9,0,0,0,411832,103229,823,206,0
9,1,1244,500000,400,40,30,3,table,500000,276,70656,481,481,1063,11,1295,0,0,283381,71137,566,142,0
9,1,1244,500000,400,40,30,3,threshold,500000,248,63488,481,481,964,11,42,0,0,254681,63969,509,127,0
10,1,1244,500000,400,40,30,3,fixed,500000,401,102735,481,481,1914,13,0,0,0,411819,103216,823,206,0
10,1,1244,500000,400,40,30,3,table,500000,276,70656,472,472,1748,14,1295,0,0,283372,71128,566,142,0
10,1,1244,500000,400,40,30,3,threshold,500000,248,63488,468,468,1911,18,42,0,0,254668,63956,509,127,0
1,1,1555,500000,400,40,30,3,fixed,500000,321,82176,489,489,1405,7,0,0,0,329514,82665,659,165,0
1,1,1555,500000,400,40,30,3,table,500000,276,70656,480,480,1680,9,1295,0,0,283380,71136,566,142,0
1,1,1555,500000,400,40,30,3,threshold,500000,248,63488,491,491,1334,6,42,0,0,254691,63979,509,127,0
2,1,1555,500000,400,40,30,3,fixed,500000,321,82176,472,472,2853,11,0,0,0,329497,82648,658,165,0
2,1,1555,500000,400,40,30,3,table,500000,276,70656,470,470,2185,12,1295,0,0,283370,71126,566,142,0
2,1,1555,500000,400,40,30,3,threshold,500000,248,63488,473,473,2080,12,42,0,0,254673,63961,509,127,0
3,1,1555,500000,400,40,30,3,fixed,500000,321,82176,475,475,1669,14,0,0,0,329500,82651,659,165,0
3,1,1555,500000,400,40,30,3,table,500000,276,70656,470,470,1761,16,1295,0,0,283370,71126,566,142,0
3,1,1555,500000,400,40,30,3,threshold,500000,248,63488,472,472,1419,15,42,0,0,254672,63960,509,127,0
4,1,1555,500000,400,40,30,3,fixed,500000,321,82176,477,477,2551,14,0,0,0,329502,82653,659,165,0
4,1,1555,500000,400,40,30,3,table,500000,276,70656,466,466,2378,14,1295,0,0,283366,71122,566,142,0
4,1,1555,500000,400,40,30,3,threshold,500000,248,63488,476,476,1688,13,42,0,0,254676,63964,509,127,0
5,1,1555,500000,400,40,30,3,fixed,500000,321,82176,482,482,2408,14,0,0,0,329507,82658,659,165,0
5,1,1555,500000,400,40,30,3,table,500000,276,70656,482,482,1988,12,1295,0,0,283382,71138,566,142,0
