strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,34,0,4864,34,136.0,0.0,19456.0,136.0,34,30,4,0,0
fixed,25000,50000,25000,20,42,14,5120,42,168.0,56.0,20480.0,168.0,45,35,10,0,0
fixed,50000,75000,25000,20,47,20,5120,47,188.0,80.0,20480.0,188.0,48,42,6,0,0
fixed,75000,100000,25000,20,39,20,5120,39,156.0,80.0,20480.0,156.0,37,29,8,0,0
fixed,100000,125000,25000,20,32,20,5120,32,128.0,80.0,20480.0,128.0,38,34,4,0,0
fixed,125000,150000,25000,20,27,20,5120,27,108.0,80.0,20480.0,108.0,24,22,2,0,0
fixed,150000,175000,25000,20,17,20,5120,17,68.0,80.0,20480.0,68.0,18,14,4,0,0
fixed,175000,200000,25000,21,26,21,5376,26,104.0,84.0,21504.0,104.0,25,17,8,0,0
fixed,200000,225000,25000,20,21,20,5120,21,84.0,80.0,20480.0,84.0,21,19,2,0,0
fixed,225000,250000,25000,20,11,20,5120,11,44.0,80.0,20480.0,44.0,10,8,2,0,0
fixed,250000,275000,25000,20,21,20,5120,21,84.0,80.0,20480.0,84.0,21,21,0,0,0
fixed,275000,300000,25000,20,7,20,5120,7,28.0,80.0,20480.0,28.0,9,7,2,0,0
fixed,300000,325000,25000,20,21,20,5120,21,84.0,80.0,20480.0,84.0,21,14,7,0,0
fixed,325000,350000,25000,20,26,20,5120,26,104.0,80.0,20480.0,104.0,25,18,7,0,0
fixed,350000,375000,25000,20,10,20,5120,10,40.0,80.0,20480.0,40.0,10,9,1,0,0
fixed,375000,400000,25000,20,20,20,5120,20,80.0,80.0,20480.0,80.0,20,19,1,0,0
fixed,400000,425000,25000,21,5,21,5376,5,20.0,84.0,21504.0,20.0,5,5,0,0,0
fixed,425000,450000,25000,20,13,30,5120,13,52.0,120.0,20480.0,52.0,15,13,2,0,0
fixed,450000,475000,25000,20,18,40,5120,18,72.0,160.0,20480.0,72.0,18,13,5,0,0
fixed,475000,500000,25000,20,34,40,5120,34,136.0,160.0,20480.0,136.0,36,31,5,0,0
table,0,25000,25000,13,33,0,3328,33,132.0,0.0,13312.0,132.0,34,30,4,0,0
table,25000,50000,25000,15,43,10,3840,43,172.0,40.0,15360.0,172.0,45,35,10,0,0
table,50000,75000,25000,14,39,28,3584,39,156.0,112.0,14336.0,156.0,48,42,6,0,0
table,75000,100000,25000,15,38,55,3840,38,152.0,220.0,15360.0,152.0,37,29,8,0,0
table,100000,125000,25000,14,33,56,3584,33,132.0,224.0,14336.0,132.0,38,34,4,0,0
table,125000,150000,25000,14,24,56,3584,24,96.0,224.0,14336.0,96.0,24,22,2,0,0
table,150000,175000,25000,14,17,47,3584,17,68.0,188.0,14336.0,68.0,18,14,4,0,0
table,175000,200000,25000,14,22,43,3584,22,88.0,172.0,14336.0,88.0,25,17,8,0,0
table,200000,225000,25000,14,23,56,3584,23,92.0,224.0,14336.0,92.0,21,19,2,0,0
table,225000,250000,25000,13,10,52,3328,10,40.0,208.0,13312.0,40.0,10,8,2,0,0
table,250000,275000,25000,14,22,56,3584,22,88.0,224.0,14336.0,88.0,21,21,0,0,0
table,275000,300000,25000,13,7,52,3328,7,28.0,208.0,13312.0,28.0,9,7,2,0,0
table,300000,325000,25000,14,21,56,3584,21,84.0,224.0,14336.0,84.0,21,14,7,0,0
table,325000,350000,25000,13,24,55,3328,24,96.0,220.0,13312.0,96.0,25,18,7,0,0
table,350000,375000,25000,14,10,70,3584,10,40.0,280.0,14336.0,40.0,10,9,1,0,0
table,375000,400000,25000,14,20,70,3584,20,80.0,280.0,14336.0,80.0,20,19,1,0,0
table,400000,425000,25000,13,5,65,3328,5,20.0,260.0,13312.0,20.0,5,5,0,0,0
table,425000,450000,25000,14,13,77,3584,13,52.0,308.0,14336.0,52.0,15,13,2,0,0
table,450000,475000,25000,13,17,78,3328,17,68.0,312.0,13312.0,68.0,18,13,5,0,0
table,475000,500000,25000,14,33,83,3584,33,132.0,332.0,14336.0,132.0,36,31,5,0,0
threshold,0,25000,25000,11,30,9,2816,30,120.0,36.0,11264.0,120.0,34,30,4,0,0
threshold,25000,50000,25000,13,42,29,3328,42,168.0,116.0,13312.0,168.0,45,35,10,0,0
