strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,32,0,4864,32,128.0,0.0,19456.0,128.0,34,31,3,0,0
fixed,25000,50000,25000,20,36,0,5120,36,144.0,0.0,20480.0,144.0,34,29,5,0,0
fixed,50000,75000,25000,20,39,0,5120,39,156.0,0.0,20480.0,156.0,44,39,5,0,0
fixed,75000,100000,25000,20,46,0,5120,46,184.0,0.0,20480.0,184.0,41,36,5,0,0
fixed,100000,125000,25000,20,24,15,5120,24,96.0,60.0,20480.0,96.0,28,24,4,0,0
fixed,125000,150000,25000,20,26,24,5120,26,104.0,96.0,20480.0,104.0,26,22,4,0,0
fixed,150000,175000,25000,20,30,20,5120,30,120.0,80.0,20480.0,120.0,30,24,6,0,0
fixed,175000,200000,25000,21,22,21,5376,22,88.0,84.0,21504.0,88.0,22,14,8,0,0
fixed,200000,225000,25000,20,19,22,5120,19,76.0,88.0,20480.0,76.0,21,15,6,0,0
fixed,225000,250000,25000,20,22,40,5120,22,88.0,160.0,20480.0,88.0,23,19,4,0,0
fixed,250000,275000,25000,20,12,54,5120,12,48.0,216.0,20480.0,48.0,16,12,4,0,0
fixed,275000,300000,25000,20,17,60,5120,17,68.0,240.0,20480.0,68.0,16,12,4,0,0
fixed,300000,325000,25000,20,13,60,5120,13,52.0,240.0,20480.0,52.0,14,12,2,0,0
fixed,325000,350000,25000,20,22,60,5120,22,88.0,240.0,20480.0,88.0,22,16,6,0,0
fixed,350000,375000,25000,20,14,60,5120,14,56.0,240.0,20480.0,56.0,13,13,0,0,0
fixed,375000,400000,25000,20,19,60,5120,19,76.0,240.0,20480.0,76.0,20,16,4,0,0
fixed,400000,425000,25000,21,8,63,5376,8,32.0,252.0,21504.0,32.0,7,7,0,0,0
fixed,425000,450000,25000,20,12,60,5120,12,48.0,240.0,20480.0,48.0,12,12,0,0,0
fixed,450000,475000,25000,20,12,60,5120,12,48.0,240.0,20480.0,48.0,13,13,0,0,0
fixed,475000,500000,25000,20,35,104,5120,35,140.0,416.0,20480.0,140.0,44,34,10,0,1
table,0,25000,25000,13,29,5,3328,29,116.0,20.0,13312.0,116.0,34,31,3,0,0
table,25000,50000,25000,15,37,15,3840,37,148.0,60.0,15360.0,148.0,34,29,5,0,0
table,50000,75000,25000,14,38,14,3584,38,152.0,56.0,14336.0,152.0,44,39,5,0,0
table,75000,100000,25000,15,47,4,3840,47,188.0,16.0,15360.0,188.0,41,36,5,0,0
