strategy,busy_percent,unique_uncorrectable,uncorrectable_detections,fixed_points_dominated_by_adaptive,fixed_points_dominating_adaptive,fixed_points_tradeoff,cheapest_fixed_unique_interval,cheapest_fixed_unique_busy,cheapest_fixed_unique_eta_busy,cheapest_fixed_detections_interval,cheapest_fixed_detections_busy,cheapest_fixed_detections_eta_busy,cheapest_fixed_both_interval,cheapest_fixed_both_busy,cheapest_fixed_both_eta_busy,pareto_front_member
table,8.666667,4.966667,750.466667,2,0,7,120,14.303333,1.650385,,,,,,,1
threshold,9.920000,4.733333,748.900000,1,0,8,120,14.303333,1.441868,,,,,,,1
