event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
84,single,928,44,2000000000,,,,,,,928,928,0
97,single,2034,90,0000000020,,,,,,,2034,2034,0
35,single,2368,29,0000000800,,,,,,,2368,2368,0
230,single,2779,60,0000001000,,,,,,,2779,2779,0
202,single,2876,114,0400000000,,,,,,,2876,2876,0
332,single,2882,148,0400000000,,,,,,,2882,2882,0
78,single,4856,169,0200000000,,,,,,,4856,4856,0
260,single,4898,62,0000000800,,,,,,,4898,4898,0
175,single,5730,3,0000000004,,,,,,,5730,5730,0
279,single,6231,8,0020000000,,,,,,,6231,6231,0
336,single,7655,237,0000001000,,,,,,,7655,7655,0
261,single,7756,7,0000000001,,,,,,,7756,7756,0
36,single,10596,57,0000800000,,,,,,,10596,10596,0
83,single,10695,34,0080000000,,,,,,,10695,10695,0
1,single,12837,240,0000800000,,,,,,,12837,12837,0
103,single,14236,79,0100000000,,,,,,,14236,14236,0
320,single,15502,221,0000400000,,,,,,,15502,15502,0
43,single,15592,236,0000000010,,,,,,,15592,15592,0
179,single,17048,137,0004000000,,,,,,,17048,17048,0
454,paired,17377,55,0000000020,27,first,,,,,17377,17377,0
251,single,17841,196,0000080000,,,,,,,17841,17841,0
462,paired,18507,90,0200000000,31,first,,,,,18507,18507,0
280,single,18974,46,0000000010,,,,,,,18974,18974,0
455,paired,19242,55,0000080000,27,second,,,,,19242,19242,0
440,paired,19552,183,0004000000,20,first,,,,,19552,19552,0
463,paired,19622,90,0000000080,31,second,,,,,19622,19622,0
138,single,19770,57,0000000008,,,,,,,19770,19770,0
126,single,20079,154,0000800000,,,,,,,20079,20079,0
372,single,20401,198,0000000002,,,,,,,20401,20401,0
441,paired,21531,183,0000000100,20,second,,,,,21531,21531,0
49,single,22035,186,0000040000,,,,,,,22035,22035,0
118,single,24211,204,0000001000,,,,,,,24211,24211,0
165,single,24615,248,0000000001,,,,,,,24615,24615,0
68,single,25397,20,0040000000,,,,,,,25397,25397,0
382,single,25589,154,0000100000,,,,,,,25589,25589,0
208,single,29126,179,0000000080,,,,,,,29126,29126,0
374,single,30651,85,0000000040,,,,,,,30651,30651,0
79,single,31475,16,0000800000,,,,,,,31475,31475,0
150,single,32858,111,4000000000,,,,,,,32858,32858,0
163,single,34590,82,0000800000,,,,,,,34590,34590,0
90,single,36155,82,0000000080,,,,,,,36155,36155,0
254,single,36519,1,1000000000,,,,,,,36519,36519,0
219,single,37955,20,0000400000,,,,,,,37955,37955,0
361,single,38392,68,0040000000,,,,,,,38392,38392,0
266,single,38594,202,0400000000,,,,,,,38594,38594,0
299,single,39128,151,0000000400,,,,,,,39128,39128,0
185,single,39234,98,0100000000,,,,,,,39234,39234,0
218,single,41503,231,0000000008,,,,,,,41503,41503,0
308,single,45917,188,0000020000,,,,,,,45917,45917,0
30,single,46361,254,0000080000,,,,,,,46361,46361,0
307,single,48156,234,0000002000,,,,,,,48156,48156,0
91,single,49248,242,0080000000,,,,,,,49248,49248,0
38,single,49919,7,0008000000,,,,,,,49919,49919,0
468,paired,50464,2,0000000800,34,first,,,,,50464,50464,0
244,single,50668,174,0000000002,,,,,,,50668,50668,0
341,single,51331,22,1000000000,,,,,,,51331,51331,0
434,paired,51657,62,2000000000,17,first,,,,,51657,51657,0
45,single,51671,135,0010000000,,,,,,,51671,51671,0
322,single,51733,158,1000000000,,,,,,,51733,51733,0
435,paired,52667,62,0000000004,17,second,,,,,52667,52667,0
281,single,53147,103,0200000000,,,,,,,53147,53147,0
381,single,53197,69,0000800000,,,,,,,53197,53197,0
469,paired,53351,2,0000002000,34,second,,,,,53351,53351,0
371,single,53403,230,0020000000,,,,,,,53403,53403,0
428,paired,54210,69,0000002000,14,first,,,,,54210,54210,0
393,single,54229,1,4000000000,,,,,,,54229,54229,0
106,single,55508,115,0000000100,,,,,,,55508,55508,0
301,single,55626,144,0000000001,,,,,,,55626,55626,0
216,single,55978,180,0000040000,,,,,,,55978,55978,0
429,paired,56395,69,0000200000,14,second,,,,,56395,56395,0
273,single,56439,125,0004000000,,,,,,,56439,56439,0
129,single,58106,113,0040000000,,,,,,,58106,58106,0
337,single,58862,133,0000000400,,,,,,,58862,58862,0
368,single,59510,12,0000000002,,,,,,,59510,59510,0
470,paired,59885,44,0000080000,35,first,,,,,59885,59885,0
24,single,60638,136,0010000000,,,,,,,60638,60638,0
99,single,61285,64,0000000200,,,,,,,61285,61285,0
282,single,61414,127,0000000020,,,,,,,61414,61414,0
406,paired,61827,13,0000010000,3,first,,,,,61827,61827,0
471,paired,62528,44,0800000000,35,second,,,,,62528,62528,0
183,single,62711,23,0008000000,,,,,,,62711,62711,0
303,single,63066,0,0000000002,,,,,,,63066,63066,0
178,single,64304,56,0000002000,,,,,,,64304,64304,0
318,single,64402,237,0010000000,,,,,,,64402,64402,0
407,paired,64489,13,0000004000,3,second,,,,,64489,64489,0
15,single,65317,6,0000001000,,,,,,,65317,65317,0
288,single,66356,172,0800000000,,,,,,,66356,66356,0
189,single,66422,151,0000000200,,,,,,,66422,66422,0
196,single,66656,119,0008000000,,,,,,,66656,66656,0
105,single,66931,81,0000008000,,,,,,,66931,66931,0
472,paired,67149,130,0000000100,36,first,,,,,67149,67149,0
127,single,67305,1,0000000020,,,,,,,67305,67305,0
180,single,67994,189,0000000200,,,,,,,67994,67994,0
247,single,68502,110,0000000001,,,,,,,68502,68502,0
473,paired,68769,130,0000020000,36,second,,,,,68769,68769,0
71,single,69365,150,0000000020,,,,,,,69365,69365,0
396,single,70201,232,0002000000,,,,,,,70201,70201,0
309,single,70847,78,0000008000,,,,,,,70847,70847,0
293,single,71241,57,0000000100,,,,,,,71241,71241,0
319,single,71555,231,0800000000,,,,,,,71555,71555,0
305,single,72114,186,0080000000,,,,,,,72114,72114,0
