strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,32,1,4864,32,128.0,4.0,19456.0,128.0,34,28,6,0,0
fixed,25000,50000,25000,20,48,20,5120,48,192.0,80.0,20480.0,192.0,50,38,12,0,0
fixed,50000,75000,25000,20,43,30,5120,43,172.0,120.0,20480.0,172.0,45,35,10,0,0
fixed,75000,100000,25000,20,45,24,5120,45,180.0,96.0,20480.0,180.0,44,32,12,0,0
fixed,100000,125000,25000,20,27,20,5120,27,108.0,80.0,20480.0,108.0,28,24,4,0,0
fixed,125000,150000,25000,20,26,20,5120,26,104.0,80.0,20480.0,104.0,28,26,2,0,0
fixed,150000,175000,25000,20,22,20,5120,22,88.0,80.0,20480.0,88.0,18,18,0,0,0
fixed,175000,200000,25000,21,24,21,5376,24,96.0,84.0,21504.0,96.0,24,20,4,0,0
fixed,200000,225000,25000,20,10,20,5120,10,40.0,80.0,20480.0,40.0,11,7,4,0,0
fixed,225000,250000,25000,20,28,20,5120,28,112.0,80.0,20480.0,112.0,27,23,4,0,0
fixed,250000,275000,25000,20,18,20,5120,18,72.0,80.0,20480.0,72.0,18,18,0,0,0
fixed,275000,300000,25000,20,12,20,5120,12,48.0,80.0,20480.0,48.0,13,12,1,0,0
fixed,300000,325000,25000,20,22,20,5120,22,88.0,80.0,20480.0,88.0,22,19,3,0,0
fixed,325000,350000,25000,20,21,20,5120,21,84.0,80.0,20480.0,84.0,21,19,2,0,0
fixed,350000,375000,25000,20,9,20,5120,9,36.0,80.0,20480.0,36.0,9,7,2,0,0
fixed,375000,400000,25000,20,12,20,5120,12,48.0,80.0,20480.0,48.0,12,10,2,0,0
fixed,400000,425000,25000,21,10,21,5376,10,40.0,84.0,21504.0,40.0,9,5,4,0,0
fixed,425000,450000,25000,20,13,20,5120,13,52.0,80.0,20480.0,52.0,13,13,0,0,0
fixed,450000,475000,25000,20,15,20,5120,15,60.0,80.0,20480.0,60.0,15,13,2,0,0
fixed,475000,500000,25000,20,34,31,5120,34,136.0,124.0,20480.0,136.0,39,33,6,0,1
table,0,25000,25000,13,31,0,3328,31,124.0,0.0,13312.0,124.0,34,28,6,0,0
table,25000,50000,25000,15,49,15,3840,49,196.0,60.0,15360.0,196.0,50,38,12,0,0
table,50000,75000,25000,14,43,21,3584,43,172.0,84.0,14336.0,172.0,45,35,10,0,0
table,75000,100000,25000,15,45,18,3840,45,180.0,72.0,15360.0,180.0,44,32,12,0,0
table,100000,125000,25000,14,27,14,3584,27,108.0,56.0,14336.0,108.0,28,24,4,0,0
table,125000,150000,25000,14,24,23,3584,24,96.0,92.0,14336.0,96.0,28,26,2,0,0
table,150000,175000,25000,14,22,28,3584,22,88.0,112.0,14336.0,88.0,18,18,0,0,0
table,175000,200000,25000,14,23,28,3584,23,92.0,112.0,14336.0,92.0,24,20,4,0,0
table,200000,225000,25000,14,11,28,3584,11,44.0,112.0,14336.0,44.0,11,7,4,0,0
table,225000,250000,25000,13,27,26,3328,27,108.0,104.0,13312.0,108.0,27,23,4,0,0
table,250000,275000,25000,14,19,28,3584,19,76.0,112.0,14336.0,76.0,18,18,0,0,0
table,275000,300000,25000,13,12,26,3328,12,48.0,104.0,13312.0,48.0,13,12,1,0,0
table,300000,325000,25000,14,22,28,3584,22,88.0,112.0,14336.0,88.0,22,19,3,0,0
table,325000,350000,25000,13,20,26,3328,20,80.0,104.0,13312.0,80.0,21,19,2,0,0
table,350000,375000,25000,14,10,28,3584,10,40.0,112.0,14336.0,40.0,9,7,2,0,0
table,375000,400000,25000,14,13,28,3584,13,52.0,112.0,14336.0,52.0,12,10,2,0,0
table,400000,425000,25000,13,9,26,3328,9,36.0,104.0,13312.0,36.0,9,5,4,0,0
table,425000,450000,25000,14,13,28,3584,13,52.0,112.0,14336.0,52.0,13,13,0,0,0
table,450000,475000,25000,13,15,26,3328,15,60.0,104.0,13312.0,60.0,15,13,2,0,0
table,475000,500000,25000,14,35,36,3584,35,140.0,144.0,14336.0,140.0,39,33,6,0,1
threshold,0,25000,25000,11,31,0,2816,31,124.0,0.0,11264.0,124.0,34,28,6,0,0
threshold,25000,50000,25000,13,47,18,3328,47,188.0,72.0,13312.0,188.0,50,38,12,0,0
threshold,50000,75000,25000,12,43,30,3072,43,172.0,120.0,12288.0,172.0,45,35,10,0,0
threshold,75000,100000,25000,13,45,29,3328,45,180.0,116.0,13312.0,180.0,44,32,12,0,0
threshold,100000,125000,25000,13,29,26,3328,29,116.0,104.0,13312.0,116.0,28,24,4,0,0
threshold,125000,150000,25000,12,23,32,3072,23,92.0,128.0,12288.0,92.0,28,26,2,0,0
threshold,150000,175000,25000,12,21,36,3072,21,84.0,144.0,12288.0,84.0,18,18,0,0,0
threshold,175000,200000,25000,13,24,39,3328,24,96.0,156.0,13312.0,96.0,24,20,4,0,0
threshold,200000,225000,25000,12,8,37,3072,8,32.0,148.0,12288.0,32.0,11,7,4,0,0
threshold,225000,250000,25000,12,23,54,3072,23,92.0,216.0,12288.0,92.0,27,23,4,0,0
threshold,250000,275000,25000,13,19,65,3328,19,76.0,260.0,13312.0,76.0,18,18,0,0,0
threshold,275000,300000,25000,12,12,60,3072,12,48.0,240.0,12288.0,48.0,13,12,1,0,0
threshold,300000,325000,25000,13,22,65,3328,22,88.0,260.0,13312.0,88.0,22,19,3,0,0
threshold,325000,350000,25000,12,20,60,3072,20,80.0,240.0,12288.0,80.0,21,19,2,0,0
threshold,350000,375000,25000,13,10,65,3328,10,40.0,260.0,13312.0,40.0,9,7,2,0,0
threshold,375000,400000,25000,12,12,60,3072,12,48.0,240.0,12288.0,48.0,12,10,2,0,0
threshold,400000,425000,25000,13,10,65,3328,10,40.0,260.0,13312.0,40.0,9,5,4,0,0
threshold,425000,450000,25000,12,11,64,3072,11,44.0,256.0,12288.0,44.0,13,13,0,0,0
threshold,450000,475000,25000,13,15,78,3328,15,60.0,312.0,13312.0,60.0,15,13,2,0,0
threshold,475000,500000,25000,12,34,79,3072,34,136.0,316.0,12288.0,136.0,39,33,6,0,1
