strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,43,32,4864,43,172.0,128.0,19456.0,172.0,49,41,8,0,0
fixed,25000,50000,25000,20,45,40,5120,45,180.0,160.0,20480.0,180.0,46,42,4,0,0
fixed,50000,75000,25000,20,46,40,5120,46,184.0,160.0,20480.0,184.0,44,36,8,0,0
fixed,75000,100000,25000,20,44,40,5120,44,176.0,160.0,20480.0,176.0,46,42,4,0,0
fixed,100000,125000,25000,20,27,40,5120,27,108.0,160.0,20480.0,108.0,28,24,4,0,0
fixed,125000,150000,25000,20,30,40,5120,30,120.0,160.0,20480.0,120.0,28,22,6,0,0
fixed,150000,175000,25000,20,33,40,5120,33,132.0,160.0,20480.0,132.0,34,24,10,0,0
fixed,175000,200000,25000,21,16,42,5376,16,64.0,168.0,21504.0,64.0,15,12,3,0,0
fixed,200000,225000,25000,20,15,40,5120,15,60.0,160.0,20480.0,60.0,15,11,4,0,0
fixed,225000,250000,25000,20,14,40,5120,14,56.0,160.0,20480.0,56.0,13,10,3,0,0
fixed,250000,275000,25000,20,16,33,5120,16,64.0,132.0,20480.0,64.0,21,17,4,0,0
fixed,275000,300000,25000,20,8,40,5120,8,32.0,160.0,20480.0,32.0,7,7,0,0,0
fixed,300000,325000,25000,20,15,40,5120,15,60.0,160.0,20480.0,60.0,15,11,4,0,0
fixed,325000,350000,25000,20,27,40,5120,27,108.0,160.0,20480.0,108.0,27,23,4,0,0
fixed,350000,375000,25000,20,9,40,5120,9,36.0,160.0,20480.0,36.0,12,8,4,0,0
fixed,375000,400000,25000,20,22,40,5120,22,88.0,160.0,20480.0,88.0,19,17,2,0,0
fixed,400000,425000,25000,21,5,42,5376,5,20.0,168.0,21504.0,20.0,5,3,2,0,0
fixed,425000,450000,25000,20,7,40,5120,7,28.0,160.0,20480.0,28.0,9,5,4,0,0
fixed,450000,475000,25000,20,17,40,5120,17,68.0,160.0,20480.0,68.0,17,15,2,0,0
fixed,475000,500000,25000,20,30,40,5120,30,120.0,160.0,20480.0,120.0,30,30,0,0,0
table,0,25000,25000,13,44,13,3328,44,176.0,52.0,13312.0,176.0,49,41,8,0,0
table,25000,50000,25000,15,47,15,3840,47,188.0,60.0,15360.0,188.0,46,42,4,0,0
table,50000,75000,25000,14,45,14,3584,45,180.0,56.0,14336.0,180.0,44,36,8,0,0
table,75000,100000,25000,15,45,15,3840,45,180.0,60.0,15360.0,180.0,46,42,4,0,0
table,100000,125000,25000,14,27,14,3584,27,108.0,56.0,14336.0,108.0,28,24,4,0,0
table,125000,150000,25000,14,30,14,3584,30,120.0,56.0,14336.0,120.0,28,22,6,0,0
table,150000,175000,25000,14,31,18,3584,31,124.0,72.0,14336.0,124.0,34,24,10,0,0
table,175000,200000,25000,14,16,28,3584,16,64.0,112.0,14336.0,64.0,15,12,3,0,0
table,200000,225000,25000,14,15,28,3584,15,60.0,112.0,14336.0,60.0,15,11,4,0,0
table,225000,250000,25000,13,13,26,3328,13,52.0,104.0,13312.0,52.0,13,10,3,0,0
table,250000,275000,25000,14,18,34,3584,18,72.0,136.0,14336.0,72.0,21,17,4,0,0
table,275000,300000,25000,13,8,39,3328,8,32.0,156.0,13312.0,32.0,7,7,0,0,0
table,300000,325000,25000,14,16,42,3584,16,64.0,168.0,14336.0,64.0,15,11,4,0,0
table,325000,350000,25000,13,27,39,3328,27,108.0,156.0,13312.0,108.0,27,23,4,0,0
table,350000,375000,25000,14,9,42,3584,9,36.0,168.0,14336.0,36.0,12,8,4,0,0
table,375000,400000,25000,14,22,30,3584,22,88.0,120.0,14336.0,88.0,19,17,2,0,0
table,400000,425000,25000,13,5,26,3328,5,20.0,104.0,13312.0,20.0,5,3,2,0,0
table,425000,450000,25000,14,7,28,3584,7,28.0,112.0,14336.0,28.0,9,5,4,0,0
table,450000,475000,25000,13,17,26,3328,17,68.0,104.0,13312.0,68.0,17,15,2,0,0
table,475000,500000,25000,14,30,28,3584,30,120.0,112.0,14336.0,120.0,30,30,0,0,0
threshold,0,25000,25000,11,41,19,2816,41,164.0,76.0,11264.0,164.0,49,41,8,0,0
threshold,25000,50000,25000,13,47,26,3328,47,188.0,104.0,13312.0,188.0,46,42,4,0,0
threshold,50000,75000,25000,12,43,28,3072,43,172.0,112.0,12288.0,172.0,44,36,8,0,0
threshold,75000,100000,25000,13,45,39,3328,45,180.0,156.0,13312.0,180.0,46,42,4,0,0
threshold,100000,125000,25000,13,28,42,3328,28,112.0,168.0,13312.0,112.0,28,24,4,0,0
threshold,125000,150000,25000,12,27,45,3072,27,108.0,180.0,12288.0,108.0,28,22,6,0,0
threshold,150000,175000,25000,12,29,43,3072,29,116.0,172.0,12288.0,116.0,34,24,10,0,0
threshold,175000,200000,25000,13,16,65,3328,16,64.0,260.0,13312.0,64.0,15,12,3,0,0
threshold,200000,225000,25000,12,15,60,3072,15,60.0,240.0,12288.0,60.0,15,11,4,0,0
threshold,225000,250000,25000,12,13,60,3072,13,52.0,240.0,12288.0,52.0,13,10,3,0,0
