strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,26,0,4864,26,104.0,0.0,19456.0,104.0,26,20,6,0,0
fixed,25000,50000,25000,20,41,0,5120,41,164.0,0.0,20480.0,164.0,42,36,6,0,0
fixed,50000,75000,25000,20,49,21,5120,49,196.0,84.0,20480.0,196.0,53,49,4,0,0
fixed,75000,100000,25000,20,38,40,5120,38,152.0,160.0,20480.0,152.0,41,37,4,0,0
fixed,100000,125000,25000,20,24,40,5120,24,96.0,160.0,20480.0,96.0,24,24,0,0,0
fixed,125000,150000,25000,20,34,40,5120,34,136.0,160.0,20480.0,136.0,33,27,6,0,0
fixed,150000,175000,25000,20,26,40,5120,26,104.0,160.0,20480.0,104.0,27,19,8,0,0
fixed,175000,200000,25000,21,21,42,5376,21,84.0,168.0,21504.0,84.0,19,17,2,0,0
fixed,200000,225000,25000,20,20,40,5120,20,80.0,160.0,20480.0,80.0,21,14,7,0,0
fixed,225000,250000,25000,20,21,40,5120,21,84.0,160.0,20480.0,84.0,20,17,3,0,0
fixed,250000,275000,25000,20,14,40,5120,14,56.0,160.0,20480.0,56.0,14,10,4,0,0
fixed,275000,300000,25000,20,6,55,5120,6,24.0,220.0,20480.0,24.0,8,4,4,0,0
fixed,300000,325000,25000,20,15,60,5120,15,60.0,240.0,20480.0,60.0,15,13,2,0,0
fixed,325000,350000,25000,20,14,60,5120,14,56.0,240.0,20480.0,56.0,14,12,2,0,0
fixed,350000,375000,25000,20,21,60,5120,21,84.0,240.0,20480.0,84.0,23,19,4,0,0
fixed,375000,400000,25000,20,27,60,5120,27,108.0,240.0,20480.0,108.0,27,19,8,0,0
fixed,400000,425000,25000,21,15,63,5376,15,60.0,252.0,21504.0,60.0,13,13,0,0,0
fixed,425000,450000,25000,20,13,60,5120,13,52.0,240.0,20480.0,52.0,16,15,1,0,0
fixed,450000,475000,25000,20,14,60,5120,14,56.0,240.0,20480.0,56.0,12,7,5,0,0
fixed,475000,500000,25000,20,30,71,5120,30,120.0,284.0,20480.0,120.0,32,28,4,0,0
table,0,25000,25000,13,23,2,3328,23,92.0,8.0,13312.0,92.0,26,20,6,0,0
