scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,10000,10000,80,20,60,300,2,2,percentile_tail,risk_policy,results/paper/tables/risk_policy_schedule.csv,fixed,10000,68,1088,101,101,79,1,0,0,0,4521,1189,452,118,0
upsets,1,10000,10000,80,20,60,300,2,2,percentile_tail,risk_policy,results/paper/tables/risk_policy_schedule.csv,table,10000,70,1120,96,96,128,1,558,0,0,4646,1216,464,121,0
upsets,1,10000,10000,80,20,60,300,2,2,percentile_tail,risk_policy,results/paper/tables/risk_policy_schedule.csv,threshold,10000,79,1270,97,97,201,2,6,0,0,5255,1367,525,136,0
upsets,2,10000,10000,80,20,60,300,2,2,percentile_tail,risk_policy,results/paper/tables/risk_policy_schedule.csv,fixed,10000,68,1088,95,95,124,3,0,0,0,4515,1183,451,118,0
upsets,2,10000,10000,80,20,60,300,2,2,percentile_tail,risk_policy,results/paper/tables/risk_policy_schedule.csv,table,10000,70,1120,97,97,112,4,558,0,0,4647,1217,464,121,0
upsets,2,10000,10000,80,20,60,300,2,2,percentile_tail,risk_policy,results/paper/tables/risk_policy_schedule.csv,threshold,10000,79,1268,100,100,97,3,6,0,0,5248,1368,524,136,0
