strategy,run_count,corrected_mean,corrected_min,corrected_max,corrected_stddev,uncorrectable_detections_mean,uncorrectable_detections_min,uncorrectable_detections_max,uncorrectable_detections_stddev,unique_uncorrectable_words_mean,unique_uncorrectable_words_min,unique_uncorrectable_words_max,unique_uncorrectable_words_stddev,reads_mean,reads_min,reads_max,reads_stddev,writes_mean,writes_min,writes_max,writes_stddev,interval_switches_mean,interval_switches_min,interval_switches_max,interval_switches_stddev,memory_busy_cycles_mean,memory_busy_cycles_min,memory_busy_cycles_max,memory_busy_cycles_stddev,busy_percent_mean,busy_percent_min,busy_percent_max,busy_percent_stddev
fixed,2,98.000000,95.000000,101.000000,4.242641,101.500000,79.000000,124.000000,31.819805,2.000000,1.000000,3.000000,1.414214,1088.000000,1088.000000,1088.000000,0.000000,98.000000,95.000000,101.000000,4.242641,0.000000,0.000000,0.000000,0.000000,1186.000000,1183.000000,1189.000000,4.242641,11.800000,11.800000,11.800000,0.000000
table,2,93.500000,83.000000,104.000000,14.849242,130.500000,66.000000,195.000000,91.216775,3.000000,1.000000,5.000000,2.828427,967.500000,967.000000,968.000000,0.707107,93.500000,83.000000,104.000000,14.849242,481.000000,481.000000,481.000000,0.000000,1061.000000,1050.000000,1072.000000,15.556349,10.600000,10.500000,10.700000,0.141421
threshold,2,98.500000,97.000000,100.000000,2.121320,149.000000,97.000000,201.000000,73.539105,2.500000,2.000000,3.000000,0.707107,1269.000000,1268.000000,1270.000000,1.414214,98.500000,97.000000,100.000000,2.121320,6.000000,6.000000,6.000000,0.000000,1367.500000,1367.000000,1368.000000,0.707107,13.600000,13.600000,13.600000,0.000000
