strategy,run_count,corrected_mean,corrected_min,corrected_max,corrected_stddev,uncorrectable_detections_mean,uncorrectable_detections_min,uncorrectable_detections_max,uncorrectable_detections_stddev,unique_uncorrectable_words_mean,unique_uncorrectable_words_min,unique_uncorrectable_words_max,unique_uncorrectable_words_stddev,reads_mean,reads_min,reads_max,reads_stddev,writes_mean,writes_min,writes_max,writes_stddev,interval_switches_mean,interval_switches_min,interval_switches_max,interval_switches_stddev,memory_busy_cycles_mean,memory_busy_cycles_min,memory_busy_cycles_max,memory_busy_cycles_stddev,busy_percent_mean,busy_percent_min,busy_percent_max,busy_percent_stddev
fixed,2,99.000000,95.000000,103.000000,5.656854,77.500000,33.000000,122.000000,62.932504,1.000000,0.000000,2.000000,1.414214,1088.000000,1088.000000,1088.000000,0.000000,99.000000,95.000000,103.000000,5.656854,0.000000,0.000000,0.000000,0.000000,1187.000000,1183.000000,1191.000000,5.656854,11.850000,11.800000,11.900000,0.070711
table,2,96.500000,87.000000,106.000000,13.435029,104.500000,25.000000,184.000000,112.429978,2.000000,0.000000,4.000000,2.828427,967.500000,967.000000,968.000000,0.707107,96.500000,87.000000,106.000000,13.435029,481.000000,481.000000,481.000000,0.000000,1064.000000,1054.000000,1074.000000,14.142136,10.600000,10.500000,10.700000,0.141421
threshold,2,100.500000,100.000000,101.000000,0.707107,102.500000,95.000000,110.000000,10.606602,1.000000,0.000000,2.000000,1.414214,1269.000000,1268.000000,1270.000000,1.414214,100.500000,100.000000,101.000000,0.707107,6.000000,6.000000,6.000000,0.000000,1369.500000,1368.000000,1371.000000,2.121320,13.650000,13.600000,13.700000,0.070711
