shorter_interval_seconds,longer_interval_seconds,tau_boundary_seconds,nu_boundary
1,2,1.41421356237,323.440820674
2,5,3.16227766017,144.647132345
5,10,7.07106781187,64.6881641348
10,30,17.3205080757,26.4088324213
30,60,42.4264068712,10.7813606891
60,120,84.8528137424,5.39068034456
120,300,189.73665961,2.41078553908
300,600,424.264068712,1.07813606891
600,1200,848.528137424,0.539068034456
1200,1800,1469.69384567,0.311231074805
1800,3600,2545.58441227,0.179689344819
