level,interval_seconds,hours,fraction
0,120,22814,0.520582329
1,60,15077,0.344035232
2,30,5638,0.128650968
3,10,159,0.003628149
4,5,72,0.001642935
5,2,34,0.000775831
6,1,30,0.000684556
