configuration,addr_width,memory_words,information_bits_mbit,codeword_bits_mbit,wires,wire_bits,public_wires,public_wire_bits,memories,cells,cells_delta_vs_baseline,cells_change_percent_vs_baseline,wire_bits_delta_vs_baseline,wire_bits_change_percent_vs_baseline
adaptive_aw4,4,16,0.000512,0.000624,3161,5854,103,1958,0,4125,0,0.000,0,0.000
adaptive_aw21,21,2097152,67.108864,81.788928,3226,5970,103,2009,0,4207,82,1.988,116,1.982
