scenario,strategy,run_count,corrected_mean,corrected_stddev,uncorrectable_detections_mean,uncorrectable_detections_stddev,unique_uncorrectable_words_mean,unique_uncorrectable_words_stddev,busy_percent_mean,busy_percent_stddev,interval_switches_mean,interval_switches_stddev
no_clusters,fixed,30,415.800000,17.601724,938.900000,197.741794,6.766667,2.358891,11.713333,0.043417,0.000000,0.000000
no_clusters,table,30,398.833333,20.352215,928.233333,221.614092,6.666667,2.233496,10.383333,0.046113,41.000000,0.000000
no_clusters,threshold,30,401.400000,18.301310,910.100000,170.317017,6.700000,1.950243,10.380000,0.040684,6.000000,0.000000
with_clusters,fixed,30,412.100000,16.202065,1054.200000,174.661525,7.166667,2.214114,11.710000,0.030513,0.000000,0.000000
with_clusters,table,30,393.066667,18.649089,1059.533333,210.896074,6.700000,2.151984,10.370000,0.046609,41.000000,0.000000
with_clusters,threshold,30,398.400000,17.609950,1022.566667,167.377682,6.833333,1.966676,10.373333,0.044978,6.000000,0.000000
