strategy,run_count,corrected_mean,corrected_min,corrected_max,corrected_stddev,uncorrectable_detections_mean,uncorrectable_detections_min,uncorrectable_detections_max,uncorrectable_detections_stddev,unique_uncorrectable_words_mean,unique_uncorrectable_words_min,unique_uncorrectable_words_max,unique_uncorrectable_words_stddev,reads_mean,reads_min,reads_max,reads_stddev,writes_mean,writes_min,writes_max,writes_stddev,interval_switches_mean,interval_switches_min,interval_switches_max,interval_switches_stddev,memory_busy_cycles_mean,memory_busy_cycles_min,memory_busy_cycles_max,memory_busy_cycles_stddev,busy_percent_mean,busy_percent_min,busy_percent_max,busy_percent_stddev
fixed,10,93.400000,74.000000,103.000000,8.422193,113.600000,67.000000,229.000000,48.858526,2.200000,0.000000,5.000000,1.398412,1088.000000,1088.000000,1088.000000,0.000000,93.400000,74.000000,103.000000,8.422193,0.000000,0.000000,0.000000,0.000000,1181.400000,1162.000000,1191.000000,8.422193,11.770000,11.600000,11.900000,0.082327
table,10,89.600000,78.000000,99.000000,5.796551,117.600000,76.000000,170.000000,31.358855,2.700000,1.000000,5.000000,1.159502,960.000000,960.000000,960.000000,0.000000,89.600000,78.000000,99.000000,5.796551,13.000000,13.000000,13.000000,0.000000,1049.600000,1038.000000,1059.000000,5.796551,10.440000,10.300000,10.500000,0.069921
threshold,10,89.600000,78.000000,99.000000,5.796551,117.600000,76.000000,170.000000,31.358855,2.700000,1.000000,5.000000,1.159502,960.000000,960.000000,960.000000,0.000000,89.600000,78.000000,99.000000,5.796551,4.000000,4.000000,4.000000,0.000000,1049.600000,1038.000000,1059.000000,5.796551,10.440000,10.300000,10.500000,0.069921
