strategy,run_count,corrected_mean,corrected_min,corrected_max,corrected_stddev,uncorrectable_detections_mean,uncorrectable_detections_min,uncorrectable_detections_max,uncorrectable_detections_stddev,unique_uncorrectable_words_mean,unique_uncorrectable_words_min,unique_uncorrectable_words_max,unique_uncorrectable_words_stddev,reads_mean,reads_min,reads_max,reads_stddev,writes_mean,writes_min,writes_max,writes_stddev,interval_switches_mean,interval_switches_min,interval_switches_max,interval_switches_stddev,memory_busy_cycles_mean,memory_busy_cycles_min,memory_busy_cycles_max,memory_busy_cycles_stddev,busy_percent_mean,busy_percent_min,busy_percent_max,busy_percent_stddev
fixed,10,90.200000,70.000000,100.000000,8.916900,208.000000,133.000000,350.000000,61.717997,3.800000,2.000000,6.000000,1.229273,1088.000000,1088.000000,1088.000000,0.000000,90.200000,70.000000,100.000000,8.916900,0.000000,0.000000,0.000000,0.000000,1178.200000,1158.000000,1188.000000,8.916900,11.730000,11.500000,11.800000,0.094868
table,10,87.000000,75.000000,96.000000,6.782330,197.400000,143.000000,263.000000,39.345196,4.600000,3.000000,6.000000,0.966092,960.000000,960.000000,960.000000,0.000000,87.000000,75.000000,96.000000,6.782330,13.000000,13.000000,13.000000,0.000000,1047.000000,1035.000000,1056.000000,6.782330,10.430000,10.300000,10.500000,0.067495
threshold,10,87.000000,75.000000,96.000000,6.782330,197.400000,143.000000,263.000000,39.345196,4.600000,3.000000,6.000000,0.966092,960.000000,960.000000,960.000000,0.000000,87.000000,75.000000,96.000000,6.782330,4.000000,4.000000,4.000000,0.000000,1047.000000,1035.000000,1056.000000,6.782330,10.430000,10.300000,10.500000,0.067495
