strategy,c_value,risk_e,p_mission,cycles,p_max_cycle,mean_tau_seconds,min_tau_seconds,max_tau_seconds,deviation_from_practical_lower_percent
adaptive_current_continuous,0.128842118041,0.0100503358535,0.01,2405711.413523,4.17769803851e-09,96.5657390135,0.38848055714,187.066513774,-5.428065
adaptive_current_discrete,0.127059554228,0.0100501809522,0.00999984664774,2543790.000000,2.76820641302e-08,87.0203085068,1,120,0.000000
adaptive_delayed_1h_discrete,0.12090343247,0.0100502237581,0.00999988902558,2653530.000000,1.58576414452e-06,84.7550657174,1,120,4.314035
fixed_continuous_at_target,,0.0100503358535,0.01,17424471.341776,2.26938552698e-06,9.05430052398,9.05430052398,9.05430052398,584.980731
fixed_allowed_5s,,0.00555003438801,0.00553466140051,31553280.000000,6.92051603255e-07,5,5,5,1140.404279
