strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,37,0,4864,37,148.0,0.0,19456.0,148.0,37,31,6,0,0
fixed,25000,50000,25000,20,22,10,5120,22,88.0,40.0,20480.0,88.0,25,23,2,0,0
fixed,50000,75000,25000,20,34,20,5120,34,136.0,80.0,20480.0,136.0,34,28,6,0,0
fixed,75000,100000,25000,20,44,20,5120,44,176.0,80.0,20480.0,176.0,43,35,8,0,0
fixed,100000,125000,25000,20,25,20,5120,25,100.0,80.0,20480.0,100.0,27,21,6,0,0
fixed,125000,150000,25000,20,32,40,5120,32,128.0,160.0,20480.0,128.0,34,27,7,0,0
fixed,150000,175000,25000,20,23,40,5120,23,92.0,160.0,20480.0,92.0,24,21,3,0,0
fixed,175000,200000,25000,21,26,42,5376,26,104.0,168.0,21504.0,104.0,24,16,8,0,0
fixed,200000,225000,25000,20,18,40,5120,18,72.0,160.0,20480.0,72.0,17,17,0,0,0
fixed,225000,250000,25000,20,19,49,5120,19,76.0,196.0,20480.0,76.0,22,14,8,0,0
fixed,250000,275000,25000,20,22,60,5120,22,88.0,240.0,20480.0,88.0,22,18,4,0,0
fixed,275000,300000,25000,20,20,60,5120,20,80.0,240.0,20480.0,80.0,21,17,4,0,0
fixed,300000,325000,25000,20,15,60,5120,15,60.0,240.0,20480.0,60.0,14,9,5,0,0
fixed,325000,350000,25000,20,26,60,5120,26,104.0,240.0,20480.0,104.0,26,25,1,0,1
fixed,350000,375000,25000,20,12,60,5120,12,48.0,240.0,20480.0,48.0,13,13,0,0,0
fixed,375000,400000,25000,20,29,60,5120,29,116.0,240.0,20480.0,116.0,28,18,10,0,0
fixed,400000,425000,25000,21,6,63,5376,6,24.0,252.0,21504.0,24.0,6,6,0,0,0
fixed,425000,450000,25000,20,8,42,5120,8,32.0,168.0,20480.0,32.0,8,8,0,0,0
