strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,450000,475000,25000,20,15,24,5120,15,60.0,96.0,20480.0,60.0,15,15,0,0,0
fixed,475000,500000,25000,20,40,20,5120,40,160.0,80.0,20480.0,160.0,40,38,2,0,1
table,0,25000,25000,13,35,9,3328,35,140.0,36.0,13312.0,140.0,37,31,6,0,0
table,25000,50000,25000,15,24,15,3840,24,96.0,60.0,15360.0,96.0,25,23,2,0,0
table,50000,75000,25000,14,32,14,3584,32,128.0,56.0,14336.0,128.0,34,28,6,0,0
table,75000,100000,25000,15,46,15,3840,46,184.0,60.0,15360.0,184.0,43,35,8,0,0
table,100000,125000,25000,14,25,14,3584,25,100.0,56.0,14336.0,100.0,27,21,6,0,0
table,125000,150000,25000,14,28,49,3584,28,112.0,196.0,14336.0,112.0,34,27,7,0,0
table,150000,175000,25000,14,23,56,3584,23,92.0,224.0,14336.0,92.0,24,21,3,0,0
table,175000,200000,25000,14,26,56,3584,26,104.0,224.0,14336.0,104.0,24,16,8,0,0
table,200000,225000,25000,14,18,56,3584,18,72.0,224.0,14336.0,72.0,17,17,0,0,0
table,225000,250000,25000,13,21,50,3328,21,84.0,200.0,13312.0,84.0,22,14,8,0,0
table,250000,275000,25000,14,23,42,3584,23,92.0,168.0,14336.0,92.0,22,18,4,0,0
table,275000,300000,25000,13,17,37,3328,17,68.0,148.0,13312.0,68.0,21,17,4,0,0
table,300000,325000,25000,14,16,37,3584,16,64.0,148.0,14336.0,64.0,14,9,5,0,0
table,325000,350000,25000,13,26,26,3328,26,104.0,104.0,13312.0,104.0,26,25,1,0,1
table,350000,375000,25000,14,12,28,3584,12,48.0,112.0,14336.0,48.0,13,13,0,0,0
table,375000,400000,25000,14,21,62,3584,21,84.0,248.0,14336.0,84.0,28,18,10,0,0
table,400000,425000,25000,13,6,65,3328,6,24.0,260.0,13312.0,24.0,6,6,0,0,0
table,425000,450000,25000,14,8,70,3584,8,32.0,280.0,14336.0,32.0,8,8,0,0,0
table,450000,475000,25000,13,15,54,3328,15,60.0,216.0,13312.0,60.0,15,15,0,0,0
table,475000,500000,25000,14,40,56,3584,40,160.0,224.0,14336.0,160.0,40,38,2,0,1
threshold,0,25000,25000,11,35,10,2816,35,140.0,40.0,11264.0,140.0,37,31,6,0,0
threshold,25000,50000,25000,13,24,13,3328,24,96.0,52.0,13312.0,96.0,25,23,2,0,0
threshold,50000,75000,25000,12,32,12,3072,32,128.0,48.0,12288.0,128.0,34,28,6,0,0
threshold,75000,100000,25000,13,46,13,3328,46,184.0,52.0,13312.0,184.0,43,35,8,0,0
threshold,100000,125000,25000,13,24,25,3328,24,96.0,100.0,13312.0,96.0,27,21,6,0,0
threshold,125000,150000,25000,12,31,32,3072,31,124.0,128.0,12288.0,124.0,34,27,7,0,0
threshold,150000,175000,25000,12,22,36,3072,22,88.0,144.0,12288.0,88.0,24,21,3,0,0
threshold,175000,200000,25000,13,25,46,3328,25,100.0,184.0,13312.0,100.0,24,16,8,0,0
threshold,200000,225000,25000,12,18,48,3072,18,72.0,192.0,12288.0,72.0,17,17,0,0,0
threshold,225000,250000,25000,12,18,53,3072,18,72.0,212.0,12288.0,72.0,22,14,8,0,0
threshold,250000,275000,25000,13,21,70,3328,21,84.0,280.0,13312.0,84.0,22,18,4,0,0
threshold,275000,300000,25000,12,18,70,3072,18,72.0,280.0,12288.0,72.0,21,17,4,0,0
threshold,300000,325000,25000,13,13,80,3328,13,52.0,320.0,13312.0,52.0,14,9,5,0,0
threshold,325000,350000,25000,12,26,72,3072,26,104.0,288.0,12288.0,104.0,26,25,1,0,1
threshold,350000,375000,25000,13,12,78,3328,12,48.0,312.0,13312.0,48.0,13,13,0,0,0
threshold,375000,400000,25000,12,29,72,3072,29,116.0,288.0,12288.0,116.0,28,18,10,0,0
threshold,400000,425000,25000,13,6,69,3328,6,24.0,276.0,13312.0,24.0,6,6,0,0,0
threshold,425000,450000,25000,12,7,60,3072,7,28.0,240.0,12288.0,28.0,8,8,0,0,0
threshold,450000,475000,25000,13,16,62,3328,16,64.0,248.0,13312.0,64.0,15,15,0,0,0
threshold,475000,500000,25000,12,40,48,3072,40,160.0,192.0,12288.0,160.0,40,38,2,0,1
