0,3
10,2
23,3
33,2
34,3
36,2
47,3
56,2
73,3
74,2
75,3
81,2
97,3
103,2
109,1
114,2
121,3
125,4
126,3
127,2
140,3
146,4
147,3
155,2
163,3
166,2
169,3
172,2
191,3
198,2
214,3
217,2
218,3
222,2
238,3
248,2
252,1
259,2
263,3
267,2
274,3
277,2
280,3
282,4
283,3
287,4
289,5
290,4
298,3
300,4
301,3
302,4
304,3
306,4
310,5
311,4
313,5
314,4
320,3
321,4
322,3
329,2
330,3
337,4
342,3
347,2
348,3
349,2
356,3
362,4
363,3
364,4
365,3
373,2
379,3
387,4
388,5
390,4
391,3
399,2
403,3
409,5
413,4
414,3
419,2
429,3
431,4
434,6
435,5
437,4
438,3
444,2
451,3
456,4
460,5
463,4
464,3
468,2
477,3
480,4
486,3
491,2
498,3
499,2
500,3
501,2
502,3
507,4
508,3
514,2
525,3
526,2
527,3
532,4
534,3
539,2
550,3
552,4
554,3
556,4
557,5
558,3
563,2
569,1
570,2
575,3
578,4
579,5
580,4
581,5
582,4
583,2
586,1
589,2
591,1
594,2
602,3
604,2
606,3
608,4
609,3
611,4
612,3
616,2
619,3
622,4
625,6
626,5
629,4
634,5
635,4
636,3
638,4
639,3
645,4
646,5
647,4
648,5
650,4
661,3
663,4
664,3
667,4
670,3
674,4
675,3
676,4
678,3
682,4
683,3
688,2
690,3
693,4
697,3
698,4
699,3
700,4
702,3
707,2
708,3
711,2
713,3
727,2
743,3
747,4
749,3
753,2
771,4
773,3
774,2
781,1
785,2
791,3
793,4
794,5
795,4
796,3
801,2
814,3
815,4
817,5
820,6
821,4
822,5
823,4
830,3
834,4
837,5
839,6
840,7
841,5
842,4
844,6
845,5
846,4
848,5
849,4
861,5
863,6
867,5
868,7
869,5
870,4
872,5
873,4
876,3
878,2
885,3
887,4
889,3
890,2
892,3
893,2
911,3
924,2
937,3
948,2
955,3
961,4
962,3
968,4
969,2
970,3
971,2
978,3
995,2
1010,3
1011,2
1012,3
1013,2
1014,3
1015,2
1023,1
1024,2
1025,1
1026,2
1031,3
1032,4
1033,3
1034,4
1035,3
1036,4
1037,3
1042,2
1049,3
1051,4
1053,5
1058,6
1061,5
1062,4
1063,5
1065,4
1071,3
1072,4
1074,3
1075,4
1076,5
1078,4
1080,5
1087,6
1088,4
1091,3
1094,2
1100,3
1102,4
1106,5
1107,6
1108,4
1109,2
1110,3
1113,1
1115,2
1118,1
1120,2
1124,3
1126,4
1128,5
1130,7
1134,5
1137,4
1139,3
1144,2
1145,3
1149,4
1150,5
1154,6
1155,5
1157,4
1158,5
1163,4
1165,3
1166,4
1167,3
1169,4
1174,5
1176,6
1177,7
1180,5
1181,6
1183,5
1185,4
1186,3
1188,2
1190,1
1194,2
1201,3
1203,4
1206,2
1208,3
1209,4
1210,3
1211,2
1214,1
1215,2
1223,3
1228,4
1229,2
1233,1
1234,2
1235,1
1236,2
1244,3
1246,4
1248,3
1249,2
1250,4
1251,3
1262,2
1271,3
1282,2
1291,3
1295,4
1297,5
1299,4
