comparison,lhs,rhs,metric,n,lhs_mean,rhs_mean,delta_mean,delta_std,ci95_low,ci95_high
measured_table_w0p10 - risk_policy_fixed,measured_table_w0p10,fixed,scrub_cycles,10,324.4,401.0,-76.6,2.0110804171997807,-78.03854031573675,-75.16145968426324
measured_table_w0p10 - risk_policy_fixed,measured_table_w0p10,fixed,corrected,10,466.6,469.5,-2.9,3.2472210341220142,-5.2227606075530035,-0.5772393924469963
measured_table_w0p10 - risk_policy_fixed,measured_table_w0p10,fixed,uncorrectable_detections,10,615.9,557.4,58.5,402.0581080170156,-229.0950621888352,346.0950621888352
measured_table_w0p10 - risk_policy_fixed,measured_table_w0p10,fixed,unique_uncorrectable_words,10,3.9,2.8,1.1,1.3703203194062976,0.11980000000000013,2.0802
measured_table_w0p25 - risk_policy_fixed,measured_table_w0p25,fixed,busy_percent,10,17.65,20.6,-2.9500000000000015,0.4672615256292062,-3.284235536710268,-2.615764463289735
measured_table_w0p25 - risk_policy_fixed,measured_table_w0p25,fixed,scrub_cycles,10,343.7,401.0,-57.3,8.90754985641082,-63.67163460659821,-50.92836539340178
measured_table_w0p25 - risk_policy_fixed,measured_table_w0p25,fixed,corrected,10,466.5,469.5,-3.0,5.754225500544023,-7.116038969689184,1.1160389696891837
measured_table_w0p25 - risk_policy_fixed,measured_table_w0p25,fixed,uncorrectable_detections,10,718.0,557.4,160.6,570.1655120323494,-247.24349978568986,568.4434997856898
measured_table_w0p25 - risk_policy_fixed,measured_table_w0p25,fixed,unique_uncorrectable_words,10,3.9,2.8,1.1,1.5951314818673865,-0.04100904466178523,2.2410090446617854
measured_table_w0p50 - risk_policy_fixed,measured_table_w0p50,fixed,busy_percent,10,19.85,20.6,-0.7500000000000014,1.413624183909335,-1.761175566358287,0.2611755663582843
measured_table_w0p50 - risk_policy_fixed,measured_table_w0p50,fixed,scrub_cycles,10,386.4,401.0,-14.6,27.41532418192424,-34.210378962172044,5.010378962172046
measured_table_w0p50 - risk_policy_fixed,measured_table_w0p50,fixed,corrected,10,469.3,469.5,-0.2,5.533734925185902,-4.158320472119456,3.7583204721194563
measured_table_w0p50 - risk_policy_fixed,measured_table_w0p50,fixed,uncorrectable_detections,10,519.2,557.4,-38.2,500.84058231026853,-396.4548779494285,320.05487794942854
measured_table_w0p50 - risk_policy_fixed,measured_table_w0p50,fixed,unique_uncorrectable_words,10,2.7,2.8,-0.1,1.5238839267549948,-1.1900451550279925,0.9900451550279924
measured_table_w0p75 - risk_policy_fixed,measured_table_w0p75,fixed,busy_percent,10,21.16,20.6,0.559999999999999,1.428441263911276,-0.4617743304663714,1.5817743304663696
measured_table_w0p75 - risk_policy_fixed,measured_table_w0p75,fixed,scrub_cycles,10,412.1,401.0,11.1,27.549752973282516,-8.606536845422633,30.806536845422634
measured_table_w0p75 - risk_policy_fixed,measured_table_w0p75,fixed,corrected,10,469.6,469.5,0.1,5.586690532964137,-3.8962,4.0962
measured_table_w0p75 - risk_policy_fixed,measured_table_w0p75,fixed,uncorrectable_detections,10,565.2,557.4,7.8,457.3332847424658,-319.33379445382894,334.93379445382897
measured_table_w0p75 - risk_policy_fixed,measured_table_w0p75,fixed,unique_uncorrectable_words,10,2.5,2.8,-0.3,1.766981104093143,-1.5639343179137117,0.9639343179137116
measured_table_w1p00 - risk_policy_fixed,measured_table_w1p00,fixed,busy_percent,10,21.88,20.6,1.2799999999999983,0.9772978620211505,0.5809317961743627,1.9790682038256338
measured_table_w1p00 - risk_policy_fixed,measured_table_w1p00,fixed,scrub_cycles,10,426.1,401.0,25.1,19.22064861895491,11.351331524834851,38.848668475165155
measured_table_w1p00 - risk_policy_fixed,measured_table_w1p00,fixed,corrected,10,469.2,469.5,-0.3,4.423422506008969,-3.4641059969602788,2.864105996960279
measured_table_w1p00 - risk_policy_fixed,measured_table_w1p00,fixed,uncorrectable_detections,10,576.6,557.4,19.2,438.5333637377105,-294.48607547317107,332.88607547317105
measured_table_w1p00 - risk_policy_fixed,measured_table_w1p00,fixed,unique_uncorrectable_words,10,2.6,2.8,-0.2,1.3165611772087666,-1.1417456981584784,0.7417456981584785
