replay_name,metric,n,mean,std,ci95_low,ci95_high
measured_table_w0p00,busy_percent,10,16.12,0.15491933384829631,16.009185084036492,16.23081491596351
measured_table_w0p00,scrub_cycles,10,313.7,3.3349995835415367,311.3144507634509,316.08554923654907
measured_table_w0p00,corrected,10,463.6,7.058485830702093,458.5510142166966,468.64898578330343
measured_table_w0p00,uncorrectable_detections,10,742.3,356.03809097092716,487.6233876580733,996.9766123419266
measured_table_w0p00,unique_uncorrectable_words,10,4.4,3.0983866769659336,2.183701680729781,6.61629831927022
measured_table_w0p10,busy_percent,10,16.68,0.10327955589886355,16.60612338935766,16.75387661064234
measured_table_w0p10,scrub_cycles,10,324.4,2.0110804171997807,322.9614596842632,325.83854031573674
measured_table_w0p10,corrected,10,466.6,3.921450978627398,463.7949578541491,469.4050421458509
measured_table_w0p10,uncorrectable_detections,10,615.9,295.9934120888504,404.1737791882167,827.6262208117832
measured_table_w0p10,unique_uncorrectable_words,10,3.9,2.024845673131659,2.451613297492689,5.348386702507311
measured_table_w0p25,busy_percent,10,17.65,0.4672615256292062,17.31576446328973,17.984235536710266
measured_table_w0p25,scrub_cycles,10,343.7,8.90754985641082,337.3283653934018,350.0716346065982
measured_table_w0p25,corrected,10,466.5,6.637435917246625,461.75219425418436,471.24780574581564
measured_table_w0p25,uncorrectable_detections,10,718.0,440.6941494203586,402.76829895583154,1033.2317010441684
measured_table_w0p25,unique_uncorrectable_words,10,3.9,2.330951164939612,2.2326538331828027,5.567346166817197
measured_table_w0p50,busy_percent,10,19.85,1.413624183909335,18.838824433641715,20.861175566358288
measured_table_w0p50,scrub_cycles,10,386.4,27.41532418192424,366.78962103782794,406.010378962172
measured_table_w0p50,corrected,10,469.3,6.272515001532036,464.8132248150816,473.78677518491844
measured_table_w0p50,uncorrectable_detections,10,519.2,397.73911047318444,234.69434788011682,803.7056521198833
measured_table_w0p50,unique_uncorrectable_words,10,2.7,2.359378449224852,1.0123195918658061,4.3876804081341945
measured_table_w0p75,busy_percent,10,21.16,1.428441263911276,20.13822566953363,22.18177433046637
measured_table_w0p75,scrub_cycles,10,412.1,27.549752973282516,392.3934631545774,431.80653684542267
measured_table_w0p75,corrected,10,469.6,6.095535707019979,465.23981937988805,473.960180620112
measured_table_w0p75,uncorrectable_detections,10,565.2,432.0542147051044,256.14850652333035,874.2514934766698
measured_table_w0p75,unique_uncorrectable_words,10,2.5,2.0682789409984763,1.0205451679757167,3.9794548320242833
measured_table_w1p00,busy_percent,10,21.88,0.9772978620211505,21.180931796174363,22.579068203825635
measured_table_w1p00,scrub_cycles,10,426.1,19.22064861895491,412.35133152483485,439.8486684751652
measured_table_w1p00,corrected,10,469.2,5.094659513211413,465.5557533343639,472.8442466656361
measured_table_w1p00,uncorrectable_detections,10,576.6,400.69722567877443,289.97838675522047,863.2216132447795
measured_table_w1p00,unique_uncorrectable_words,10,2.6,1.9550504398153574,1.201538330879248,3.9984616691207524
