scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,523,523,482,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,454,454,751,4,1295,0,0,20279,5334,405,106,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,460,460,822,4,776,0,0,22820,5964,456,119,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,507,507,562,5,0,0,0,41587,10619,831,212,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,464,464,577,4,1295,0,0,20289,5344,405,106,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,454,454,717,3,776,0,0,22814,5958,456,119,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,502,502,1290,5,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,436,436,933,3,1295,0,0,20261,5316,405,106,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,454,454,984,3,776,0,0,22814,5958,456,119,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,520,520,693,4,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,436,436,880,5,1295,0,0,20261,5316,405,106,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,494,494,549,5,776,0,0,22854,5998,457,119,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,500,500,617,5,0,0,0,41580,10612,831,212,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,446,446,634,6,1295,0,0,20271,5326,405,106,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,471,471,536,6,776,0,0,22831,5975,456,119,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,511,511,1091,8,0,0,0,41591,10623,831,212,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,459,459,555,9,1295,0,0,20284,5339,405,106,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,449,449,1001,10,776,0,0,22809,5953,456,119,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,511,511,978,0,0,0,0,41591,10623,831,212,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",table,50000,305,4880,443,443,845,2,1295,0,0,20268,5323,405,106,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",threshold,50000,344,5504,474,474,802,1,776,0,0,22834,5978,456,119,0
upsets,8,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"180,160,140,120,100,90,80,70","2,1,4,3","160,110,80",fixed,50000,632,10112,506,506,778,4,0,0,0,41586,10618,831,212,0
